x_min x_max x_center mean median std n_orig n_match n_found
0.001 0.001584893192461114 0.0012924465962305572 nan 0.0 nan 0 0 0
0.001584893192461114 0.0025118864315095794 0.002048389811985347 nan 0.0 nan 0 0 0
0.0025118864315095794 0.003981071705534973 0.0032464790685222764 nan 0.0 nan 0 0 0
0.003981071705534973 0.00630957344480193 0.005145322575168452 nan 0.0 nan 0 0 0
0.00630957344480193 0.01 0.008154786722400966 nan 0.0 nan 0 0 0
0.01 0.01584893192461114 0.012924465962305572 1194.5113432513367 1194.5113432513367 0.0 1 0 0
0.01584893192461114 0.025118864315095808 0.020483898119853475 569.5807896393724 569.5807896393724 8.372197577905752 2 0 0
0.025118864315095808 0.039810717055349734 0.032464790685222775 745.4024591272142 745.4024591272142 483.4186834014296 2 0 0
0.039810717055349734 0.06309573444801933 0.05145322575168453 447.24770324570903 199.30394235695664 449.8258104572994 9 0 0
0.06309573444801933 0.1 0.08154786722400967 167.450572911759 163.64982929704624 80.8332044156915 9 0 0
0.1 0.15848931924611143 0.1292446596230557 115.04814330945916 87.0812389833361 62.71482773756009 13 0 0
0.15848931924611143 0.25118864315095824 0.20483898119853483 58.12353845493245 30.798197527537837 49.723838598484924 5 0 0
0.25118864315095824 0.3981071705534973 0.3246479068522278 100.90636430092745 38.55534378465769 100.75883655794753 8 0 0
0.3981071705534973 0.6309573444801936 0.5145322575168454 17.86785864198289 17.86785864198289 0.0 1 0 0
0.6309573444801936 1.0 0.8154786722400968 6.044790033685436 6.044790033685436 0.0 1 0 0
1.0 1.584893192461114 1.292446596230557 10.033222093291789 10.033222093291789 0.0 1 0 0
1.584893192461114 2.5118864315095824 2.048389811985348 nan 0.0 nan 0 0 0
2.5118864315095824 3.981071705534973 3.2464790685222775 2.233497988130529 2.233497988130529 0.0 1 0 0
3.981071705534973 6.309573444801936 5.145322575168454 1.0677105196328829 1.0699802537620855 0.08623924972513612 24 26 26
6.309573444801936 10.0 8.154786722400967 1.002975925146647 1.0049505545109902 0.03777950265549779 79 102 102
10.0 15.848931924611142 12.924465962305572 1.00730970473978 1.0014982669602959 0.025613810561419016 37 50 50
15.848931924611142 25.11886431509582 20.48389811985348 1.0045780475238437 1.0025264134059308 0.01622118420286602 30 35 35
25.11886431509582 39.81071705534978 32.464790685222795 1.0102481942656492 1.0065553238028564 0.02981938321268873 15 20 20
39.81071705534978 63.09573444801943 51.4532257516846 1.0090566960163139 1.0110332245894764 0.021616410475580505 7 10 10
63.09573444801943 100.0 81.5478672240097 1.0209489547272266 1.0162637921671012 0.02731144906082881 4 6 6
