SMC0140  0.15  0.250  8.30      2  0 48 32 -72 45 42 15.99  0.11 H86-101
SMC0143  0.20  0.225  8.65      1  0 48 43 -74 18 11 15.53  0.13 HW25
SMC0144  0.06  0.250  9.00      1  0 48 52 -73 33 41 15.60  0.12 B49
SMC0145  0.08  0.275  7.00      1  0 49 02 -73 21 44 11.06  0.11 B50
SMC0149  0.08  0.313  8.00      1  0 49 18 -73 22 20 13.31  0.11 L39,SOGLE54
SMC0150  0.10  0.275  8.75      2  0 49 23 -73 31 49 15.56  0.12 H86-102
SMC0152  0.17  0.225  8.60      1  0 49 45 -72 51 58 15.47  0.11 H86-109,SOGLE58
SMC0153  0.25  0.475  8.20      1  0 50 04 -73 23 04 12.86  0.11 B53,SOGLE197
SMC0156  0.15  0.325  8.05      1  0 50 22 -73 23 16 13.71  0.11 B55,SOGLE60
SMC0157  0.18  0.325  8.10      1  0 50 28 -73 12 12 13.81  0.11 B54,SOGLE62
SMC0158  0.15  0.350  8.20      1  0 50 32 -72 39 09 14.64  0.11 H86-114
SMC0159  0.17  0.225  8.65      1  0 50 31 -73 20 11 14.06  0.11 H86-106w
SMC0160  0.15  0.250  7.55      1  0 50 37 -73 20 11 13.94  0.11 H86-106e
SMC0161  0.05  0.325  8.30      1  0 50 32 -74 36 51 16.12  0.13 HW27
SMC0163  0.20  0.250  8.10      1  0 50 40 -72 57 55 13.18  0.11 H86-116,SOGLE64
SMC0164  0.20  0.325  8.20      1  0 50 56 -72 43 40 12.60  0.11 L41,SOGLE67
SMC0167  0.10  0.550  7.60      3  0 51 14 -73 09 41 11.92  0.11 NGC290,L42,ESO29SC19,SOGLE69
SMC0170  0.08  0.375  8.30      1  0 51 32 -72 58 45 13.53  0.11 H86-124,SOGLE205
SMC0171  0.10  0.300 <7.2       1  0 51 37 -72 32 31 13.74  0.10 H86-119
SMC0174  0.08  0.225  8.20      2  0 51 41 -73 31 52 14.69  0.12 H86-117
SMC0180  0.05  0.225  8.10      1  0 51 58 -73 27 41 14.36  0.11 H86-122
SMC0184  0.08  0.338  7.80      1  0 52 17 -73 01 04 12.79  0.11 H86-130,SOGLE78
SMC0185  0.10  0.350  8.25      1  0 52 30 -73 02 59 13.53  0.11 B64,SOGLE210
SMC0189  0.08  0.750  8.20      3  0 52 35 -72 11 35 12.51  0.11 K30,L45
SMC0191  0.10  0.400  7.90      1  0 52 42 -72 55 32 13.02  0.11 BS60,SOGLE82
SMC0193  0.23  0.375  7.70      1  0 52 44 -72 58 48 12.68  0.11 B65,SOGLE83
SMC0194  0.13  0.263  8.55      2  0 52 48 -72 47 46 14.22  0.12 B66,SOGLE85
SMC0196  0.03  0.225  8.70      1  0 52 47 -73 24 25 14.33  0.11 BS63,SOGLE84
SMC0198  0.03  0.225  7.20      1  0 52 51 -72 44 07 12.25  0.12 BS254
SMC0204  0.10  0.850  8.45      1  0 53 06 -73 22 49 11.94  0.12 NGC294,L47,ESO29SC22,SOGLE90
SMC0208  0.10  0.238  7.75      1  0 53 17 -72 44 03 13.23  0.11 BS256,SOGLE215
SMC0209  0.10  0.425  7.50      1  0 53 18 -72 46 00 11.68  0.12 B71,SOGLE92
SMC0211  0.10  0.450  7.40      1  0 53 25 -72 11 47 11.15  0.11 NGC299,K32,L49,ESO51SC5
SMC0212  0.02  0.475  7.80      1  0 53 28 -71 23 55 12.94  0.17 L48,ESO51SC6
SMC0213  0.08  0.600  7.60      1  0 53 26 -72 40 57 12.16  0.11 B72
SMC0215  0.04  0.225  7.80      1  0 53 37 -72 20 59 13.55  0.11 H86-145
SMC0216  0.08  0.450  8.00      1  0 53 39 -72 29 07 13.36  0.11 H86-142
SMC0217  0.08  0.600  8.55      2  0 53 50 -72 53 47 12.13  0.11 H86-147,SOGLE216
SMC0218  0.03  0.250  8.90      1  0 53 55 -72 40 08 13.67  0.11 H86-148
SMC0219  0.04  0.550  7.80      3  0 53 58 -72 12 02 13.07  0.11 B74
SMC0220  0.10  0.275  8.35      2  0 54 02 -73 19 35 15.31  0.12 H86-144
SMC0221  0.04  0.550  7.70      1  0 54 15 -72 14 29 12.95  0.11 NGC306,K33,L50,ESO29SC23
SMC0222  0.12  0.250  8.80      1  0 54 19 -72 30 53 14.11  0.11 H86-149
SMC0225  0.05  0.250  8.85      1  0 54 28 -73 37 05 16.68  0.12 HW30
SMC0226  0.05  0.600  9.10      1  0 54 31 -74 11 07 15.74  0.13 BS75
SMC0227  0.01  0.475  7.40      1  0 54 45 -72 07 46 12.91  0.12 B78
SMC0228  0.04  0.363  8.90      2  0 54 47 -73 13 25 13.91  0.12 B80,SOGLE98
SMC0229  0.05  0.350  7.50      1  0 54 48 -72 27 58 13.13  0.11 B79,SOGLE99
SMC0232  0.07  0.438  7.80      1  0 54 54 -72 06 46 13.05  0.12 L51,ESO51SC7
SMC0233  0.02  0.263  7.90      1  0 54 55 -72 26 31 14.48  0.11 BS259
SMC0237  0.03  0.250  8.80      1  0 55 12 -73 17 48 14.89  0.13 H86-155,SOGLE101
SMC0238  0.22  0.375  8.20      1  0 55 17 -73 30 29 14.85  0.12 L52
SMC0239  0.08  0.350  7.80      2  0 55 23 -71 53 07 14.91  0.12 B81
SMC0242  0.06  0.300  8.00      1  0 55 36 -71 58 57 13.54  0.11 B82
SMC0244  0.08  0.350  8.10      1  0 55 39 -71 55 18 15.52  0.12 BS76
SMC0245  0.03  0.388  8.90      1  0 55 33 -74 03 49 15.25  0.13 HW31
SMC0247  0.05  0.225  8.70      1  0 55 47 -73 27 46 15.34  0.12 H86-157
SMC0251  0.10  1.325  7.40      1  0 56 19 -72 27 50  9.20  0.11 NGC330,K35,L54,ESO29SC24
SMC0252  0.10  0.325  8.10      1  0 56 16 -72 30 59 13.53  0.11 B86,SOGLE222
SMC0258  0.10  0.700  8.95      2  0 56 44 -73 53 56 13.04  0.12 L55
SMC0259  0.05  0.225  8.10      1  0 56 56 -70 46 24 15.33  0.13 B88
SMC0262  0.10  0.250  8.10      2  0 57 21 -72 34 31 14.29  0.11 H86-173
