DDO006             00 49 49.3 -21 00 58  2.18 90   3 0.00 -12.4 25.6  7.06  6.20   7.04  344  0.6 NGC0253          0.7  1.79
ESO540-032         00 50 24.6 -19 54 25  1.53 26   6 0.00 -11.3 25.9  6.78  6.78   5.98  285  0.7 NGC0253          0.9  1.79
Bol520             00 50 42.4 +32 54 59  0.04 33     0.00  -8.1 21.3  5.60               -64  2.0 MESSIER031       2.1  1.74
And XIV            00 51 35.0 +29 41 49  0.61 60     0.00  -7.7 27.6  6.03       < 5.53 -240  2.2 MESSIER031       2.2  1.74
And XIII           00 51 51.0 +33 00 16  0.35 52     0.00  -6.8 27.3  5.66       < 5.65   53  2.4 MESSIER031       2.4  1.74
SMC                00 52 38.0 -72 48 01  7.09 58  46 0.04 -16.5 24.1  8.85  9.25   8.65  -22  3.3 LMC              3.6  1.74
And IX             00 52 52.8 +43 12 00  1.00 52     0.00  -8.1 28.2  6.20       < 5.60   48  4.0 MESSIER031       4.0  1.74
NGC0300            00 54 53.5 -37 40 57 16.05 45  90 0.14 -17.9 24.4  9.43 10.18   9.35  116  0.1 NGC0055          0.2  0.24
And XVI            00 59 29.8 +32 22 36  0.29 31     0.00  -8.2 25.5  6.23       < 5.24 -143  1.5 MESSIER031       1.6  1.74
Sculptor           01 00 09.4 -33 42 33  1.04 60     0.00  -9.8 26.6  6.86       < 5.39   91  2.7 Milky Way        2.8  1.74
LGS 3              01 03 55.0 +21 53 06  0.46 64   3 0.00  -9.3 25.4  5.96  5.62   5.02  -74  1.5 MESSIER031       1.5  1.74
IC1613             01 04 47.8 +02 08 00  4.11 29  13 0.00 -14.5 24.8  8.07  7.88   7.77  -89  0.7 MESSIER031       0.8  1.74
And X              01 06 33.7 +44 48 16  0.45 79     0.00  -7.9 26.7  6.10       < 5.40   95  2.2 MESSIER031       2.2  1.74
UGC00685           01 07 22.3 +16 41 02  3.28 51  36 0.00 -14.3 24.6  7.97  8.69   7.74  351 -1.4 NGC0253         -1.1
KKH5               01 07 32.5 +51 26 25  1.38 60  16 0.00 -12.3 24.7  7.16  7.60   6.87  326 -1.0 Maffei2         -0.6 -2.24
AM0106-382         01 08 22.0 -38 12 33  1.71 66  15 0.00 -13.4 24.1  7.60  7.68   7.58  605 -1.7 NGC1291         -1.4
NGC0404            01 09 26.9 +35 43 03  3.25 20 100 0.02 -16.5 22.4  9.28  9.58   7.93  193 -0.8 Maffei2         -0.4
And V              01 10 17.1 +47 37 41  0.66 43     0.00  -9.2 26.2  6.62       < 5.62 -143  2.6 MESSIER031       2.6  1.74
And XV             01 14 18.7 +38 07 03  0.44 39     0.00  -8.7 25.8  6.43       < 5.56  -79  2.9 MESSIER031       2.9  1.74
And II             01 16 29.8 +33 25 09  0.57 45     0.00  -9.2 25.9  6.65       < 5.44   40  2.0 MESSIER031       2.1  1.74
And XXIV           01 18 30.0 +46 21 58  0.63 52     0.00  -7.0 28.3  5.77               127  1.9 MESSIER031       1.9  1.74
And XXII           01 27 40.0 +28 05 25  0.35 90     0.00  -6.0 28.0  5.36                87  2.1 MESSIER033       2.3  1.74
UGC01056           01 28 47.2 +16 41 17  2.24 54  20 0.00 -14.8 23.2  8.25  8.03   7.64  774  1.1 NGC0628          1.1  1.07
And XXIII          01 29 21.8 +38 43 08  1.65 71     0.00  -9.5 27.9  6.75                -6  2.4 MESSIER031       2.5  1.74
UGC01104           01 32 42.3 +18 18 57  4.06 62  41 0.01 -15.2 24.2  8.35  8.90   8.02  869  0.5 NGC0628          0.5  1.06
MESSIER033         01 33 50.8 +30 39 37 17.38 54  99 0.22 -18.8 23.7  9.54 10.29   9.32   34  1.7 MESSIER031       1.7  1.73
KKH6               01 34 51.6 +52 05 30  1.29 62   8 0.00 -12.4 24.5  7.02  6.98   6.63  313 -0.5 Maffei2         -0.1  0.97
NGC0625            01 35 05.0 -41 26 11  7.73 76  34 0.00 -16.4 24.3  8.93  9.01   7.97  325 -0.3 NGC0253         -0.2 -0.75
