|              Name | RAh | RAm |  RAs | DE- | DEd | DEm | DEs | TT |  SFRa |  KLum |                 DM |                Dist | n_clust |      reference |
|           L 1641S |   5 |  42 | 29.0 |   - |   8 |   9 |   0 | 99 | -99.0 | -99.0 |   8.48178194366666 |               0.497 |       1 |   heasarc_mwsc |
| vdBergh-Hagen 164 |  14 |  47 | 38.0 |   - |  66 |  23 |   4 | 99 | -99.0 | -99.0 |   8.49918862933623 |               0.501 |       1 |   heasarc_mwsc |
|         Roslund 5 |  20 |  10 | 23.0 |   + |  33 |  46 |   8 | 99 | -99.0 | -99.0 |  8.529318561419597 |               0.508 |       1 |   heasarc_mwsc |
|          NGC 1980 |   5 |  35 | 28.0 |   - |   5 |  54 |   9 | 99 | -99.0 | -99.0 |  8.580016718173995 |                0.52 |       1 |   heasarc_mwsc |
|         Bochum 14 |  18 |   2 |  0.0 |   - |  23 |  42 |   3 | 99 | -99.0 | -99.0 |  8.653911378331946 |               0.538 |       1 |   heasarc_mwsc |
|         Alessi 12 |  20 |  43 | 23.0 |   + |  23 |  47 |   1 | 99 | -99.0 | -99.0 |  8.673999147944237 |               0.543 |       1 |   heasarc_mwsc |
|         Alessi 19 |  18 |  19 |  8.0 |   + |  12 |  11 |   7 | 99 | -99.0 | -99.0 |  8.701813447471219 |                0.55 |       1 |   heasarc_mwsc |
|           ASCC 44 |   8 |   1 | 55.0 |   - |  50 |  34 |   8 | 99 | -99.0 | -99.0 |  8.713625656523492 |               0.553 |       1 |   heasarc_mwsc |
|           IC 4725 |  18 |  31 | 43.0 |   - |  19 |   6 |   6 | 99 | -99.0 | -99.0 |  8.744814306280809 |               0.561 |       1 |   heasarc_mwsc |
|           ASCC 58 |  10 |  15 |  2.0 |   - |  54 |  58 |   2 | 99 | -99.0 | -99.0 |  8.756395519916712 |  0.5640000000000001 |       1 |   heasarc_mwsc |
|           ASCC 89 |  17 |  23 | 20.0 |   - |  62 |  39 |   0 | 99 | -99.0 | -99.0 |  8.767915294464533 |  0.5670000000000001 |       1 |   heasarc_mwsc |
|           ASCC 97 |  18 |  36 | 54.0 |   - |  19 |  13 |   2 | 99 | -99.0 | -99.0 |  8.857937404406277 |               0.591 |       1 |   heasarc_mwsc |
|         Alessi 21 |   7 |  10 | 41.0 |   - |   9 |  18 |   0 | 99 | -99.0 | -99.0 |  8.876231298701182 |               0.596 |       1 |   heasarc_mwsc |
|           ASCC 49 |   8 |  47 | 51.0 |   - |  38 |   0 |   0 | 99 | -99.0 | -99.0 |  8.993253227226345 |               0.629 |       1 |   heasarc_mwsc |
|      Collinder 95 |   6 |  31 |  5.0 |   + |   9 |  54 |   6 | 99 | -99.0 | -99.0 |  9.013868626459878 |               0.635 |       1 |   heasarc_mwsc |
|            KMS 35 |   5 |  37 | 54.0 |   - |   6 |  57 |   4 | 99 | -99.0 | -99.0 |  9.017285578242069 |               0.636 |       1 |   heasarc_mwsc |
|     Collinder 359 |  18 |   0 | 29.0 |   + |   2 |  52 |   5 | 99 | -99.0 | -99.0 |  9.030899869919436 |                0.64 |       1 |   heasarc_mwsc |
|          NGC 2264 |   6 |  40 | 59.0 |   + |   9 |  52 |   8 | 99 | -99.0 | -99.0 |  9.064566783214278 |                0.65 |       1 |   heasarc_mwsc |
|     Collinder 394 |  18 |  52 | 19.0 |   - |  20 |  12 |   0 | 99 | -99.0 | -99.0 |  9.123882312377729 |               0.668 |       1 |   heasarc_mwsc |
|          NGC 6716 |  18 |  54 | 34.0 |   - |  19 |  53 |   1 | 99 | -99.0 | -99.0 |  9.127130588839115 |               0.669 |       1 |   heasarc_mwsc |
|           IC 2395 |   8 |  42 | 36.0 |   - |  48 |   8 |   0 | 99 | -99.0 | -99.0 |  9.228590089833293 |  0.7010000000000001 |       1 |   heasarc_mwsc |
|          Pismis 5 |   8 |  37 | 40.0 |   - |  39 |  34 |   8 | 99 | -99.0 | -99.0 |  9.231685560649026 |  0.7020000000000001 |       1 |   heasarc_mwsc |
|           ASCC 33 |   7 |   3 | 45.0 |   - |  25 |   3 |   3 | 99 | -99.0 | -99.0 |   9.23786329571056 |               0.704 |       1 |   heasarc_mwsc |
|          NGC 2430 |   7 |  39 | 40.0 |   - |  16 |  22 |   8 | 99 | -99.0 | -99.0 |  9.247097068984498 |               0.707 |       1 |   heasarc_mwsc |
|        Haffner 13 |   7 |  40 | 28.0 |   - |  30 |   2 |   6 | 99 | -99.0 | -99.0 |  9.268491058880873 |               0.714 |       1 |   heasarc_mwsc |
|  vdBergh-Hagen 56 |   8 |  57 |  7.0 |   - |  43 |  17 |   1 | 99 | -99.0 | -99.0 |  9.337337439295258 |               0.737 |       1 |   heasarc_mwsc |
|          NGC 2068 |   5 |  46 | 43.0 |   + |   0 |   6 |   0 | 99 | -99.0 | -99.0 |  9.366603009076995 |               0.747 |       1 |   heasarc_mwsc |
|           DBSB 36 |   9 |  16 | 48.0 |   - |  47 |  56 |   7 | 99 | -99.0 | -99.0 |  9.369507989322308 |               0.748 |       1 |   heasarc_mwsc |
|              B 30 |   5 |  31 | 57.0 |   + |  12 |  24 |   6 | 99 | -99.0 | -99.0 |   9.43808650167868 |               0.772 |       1 |   heasarc_mwsc |
|          NGC 2925 |   9 |  33 |  9.0 |   - |  53 |  22 |   3 | 99 | -99.0 | -99.0 |  9.443704803414462 |               0.774 |       1 |   heasarc_mwsc |
|           ASCC 69 |  12 |   6 | 18.0 |   - |  69 |  46 |   8 | 99 | -99.0 | -99.0 |  9.443704803414462 |               0.774 |       1 |   heasarc_mwsc |
|          ASCC 104 |  19 |  38 | 58.0 |   + |  18 |  39 |   9 | 99 | -99.0 | -99.0 |  9.443704803414462 |               0.774 |       1 |   heasarc_mwsc |
|           ASCC 47 |   8 |  31 | 47.0 |   - |  39 |   3 |   3 | 99 | -99.0 | -99.0 |  9.460473013452402 |                0.78 |       1 |   heasarc_mwsc |
|        Dolidze 20 |   5 |  27 | 45.0 |   + |  33 |  47 |   1 | 99 | -99.0 | -99.0 |  9.507291606980562 |               0.797 |       1 |   heasarc_mwsc |
|           ASCC 85 |  16 |  47 | 49.0 |   - |  45 |  29 |   4 | 99 | -99.0 | -99.0 |  9.531675209025455 |               0.806 |       1 |   heasarc_mwsc |
| vdBergh-Hagen 221 |  17 |  18 | 40.0 |   - |  32 |  19 |   8 | 99 | -99.0 | -99.0 |  9.534367673610351 |               0.807 |       1 |   heasarc_mwsc |
|        ESO 392-13 |  17 |  26 | 52.0 |   - |  34 |  41 |   0 | 99 | -99.0 | -99.0 |  9.558450793769307 |  0.8160000000000001 |       1 |   heasarc_mwsc |
|           BDSB 10 |  18 |  46 | 20.0 |   - |   3 |  47 |   7 | 99 | -99.0 | -99.0 |  9.563766518356616 |  0.8180000000000001 |       1 |   heasarc_mwsc |
|         Loden 189 |  10 |  50 | 28.0 |   - |  56 |  25 |   2 | 99 | -99.0 | -99.0 |  9.566419508802094 |  0.8190000000000001 |       1 |   heasarc_mwsc |
|          FSR 1120 |   6 |  14 |  2.0 |   - |   9 |  22 |   5 | 99 | -99.0 | -99.0 |  9.595390461880369 |  0.8300000000000001 |       1 |   heasarc_mwsc |
|          FSR 0174 |  20 |  11 | 59.0 |   + |  28 |  18 |   6 | 99 | -99.0 | -99.0 |  9.598005118920554 |  0.8310000000000001 |       1 |   heasarc_mwsc |
|           ASCC 50 |   8 |  50 | 22.0 |   - |  41 |  43 |   2 | 99 | -99.0 | -99.0 |  9.636851815195119 |               0.846 |       1 |   heasarc_mwsc |
|        Dolidze 16 |   5 |  14 | 36.0 |   + |  32 |  39 |   6 | 99 | -99.0 | -99.0 |   9.69259862588246 |               0.868 |       1 |   heasarc_mwsc |
|           ASCC 79 |  15 |  18 | 40.0 |   - |  60 |  37 |   8 | 99 | -99.0 | -99.0 |  9.700090775038317 |               0.871 |       1 |   heasarc_mwsc |
|     Collinder 197 |   8 |  44 | 51.0 |   - |  41 |  14 |   0 | 99 | -99.0 | -99.0 |  9.724879542060238 |               0.881 |       1 |   heasarc_mwsc |
|           ASCC 84 |  15 |  54 | 56.0 |   - |  60 |  44 |   7 | 99 | -99.0 | -99.0 |  9.732261325065366 |               0.884 |       1 |   heasarc_mwsc |
|          NGC 6087 |  16 |  18 | 50.0 |   - |  57 |  56 |   4 | 99 | -99.0 | -99.0 |  9.744508804851069 |               0.889 |       1 |   heasarc_mwsc |
|           ASCC 46 |   8 |  16 | 23.0 |   - |  48 |  28 |   2 | 99 | -99.0 | -99.0 |  9.768798458666144 |               0.899 |       1 |   heasarc_mwsc |
|          FSR 1411 |   8 |  34 | 23.0 |   - |  43 |  51 |   6 | 99 | -99.0 | -99.0 |   9.79997419164208 |               0.912 |       1 |   heasarc_mwsc |
|          FSR 1157 |   7 |  22 | 37.0 |   - |   5 |   6 |   9 | 99 | -99.0 | -99.0 |   9.83305493340967 |               0.926 |       1 |   heasarc_mwsc |
|          NGC 6250 |  16 |  57 | 58.0 |   - |  45 |  57 |   0 | 99 | -99.0 | -99.0 |  9.865639267998494 |  0.9400000000000001 |       1 |   heasarc_mwsc |
|          FSR 0148 |  19 |  37 | 28.0 |   + |  21 |  18 |   9 | 99 | -99.0 | -99.0 |  9.867948117136285 |  0.9410000000000001 |       1 |   heasarc_mwsc |
|          NGC 2071 |   5 |  47 | 10.0 |   + |   0 |  18 |   0 | 99 | -99.0 | -99.0 |  9.895464503191631 |  0.9530000000000001 |       1 |   heasarc_mwsc |
|     Dutra-Bica 33 |  17 |  45 | 29.0 |   - |  26 |  41 |   8 | 99 | -99.0 | -99.0 |  9.995652706436855 |               0.998 |       1 |   heasarc_mwsc |
|          NGC 6169 |  16 |  34 |  7.0 |   - |  44 |   1 |   0 | 99 | -99.0 | -99.0 |  10.01514735276809 |  1.0070000000000001 |       1 |   heasarc_mwsc |
|          NGC 6178 |  16 |  35 | 47.0 |   - |  45 |  37 |   5 | 99 | -99.0 | -99.0 | 10.023755777955007 |  1.0110000000000001 |       1 |   heasarc_mwsc |
|      Collinder 89 |   6 |  19 | 12.0 |   + |  23 |  21 |   0 | 99 | -99.0 | -99.0 | 10.045128710434552 |  1.0210000000000001 |       1 |   heasarc_mwsc |
|           ASCC 76 |  13 |  52 | 14.0 |   - |  66 |  24 |   3 | 99 | -99.0 | -99.0 | 10.053619326958865 |               1.025 |       1 |   heasarc_mwsc |
|          NGC 2169 |   6 |   8 | 24.0 |   + |  13 |  59 |   4 | 99 | -99.0 | -99.0 | 10.068398486455962 |               1.032 |       1 |   heasarc_mwsc |
|           ASCC 66 |  11 |  13 | 34.0 |   - |  55 |  26 |   4 | 99 | -99.0 | -99.0 | 10.068398486455962 |               1.032 |       1 |   heasarc_mwsc |
|          NGC 2448 |   7 |  44 | 34.0 |   - |  24 |  39 |   9 | 99 | -99.0 | -99.0 | 10.085166696493902 |                1.04 |       1 |   heasarc_mwsc |
|          NGC 2183 |   6 |  10 | 48.0 |   - |   6 |  12 |   0 | 99 | -99.0 | -99.0 | 10.099733408394211 |               1.047 |       1 |   heasarc_mwsc |
|          FSR 1739 |  17 |   3 | 16.0 |   - |  47 |   9 |   1 | 99 | -99.0 | -99.0 |  10.11420305438264 |               1.054 |       1 |   heasarc_mwsc |
|      Collinder 96 |   6 |  30 | 31.0 |   + |   2 |  50 |   7 | 99 | -99.0 | -99.0 | 10.118319590988968 |               1.056 |       1 |   heasarc_mwsc |
|          FSR 1115 |   6 |   8 | 13.0 |   - |   9 |  34 |   8 | 99 | -99.0 | -99.0 | 10.142856263462686 |               1.068 |       1 |   heasarc_mwsc |
|          FSR 1474 |   9 |  14 | 40.0 |   - |  49 |  44 |   7 | 99 | -99.0 | -99.0 | 10.165107223414553 |               1.079 |       1 |   heasarc_mwsc |
|           Sco OB4 |  17 |  12 | 36.0 |   - |  33 |  21 |   3 | 99 | -99.0 | -99.0 | 10.171136303852752 |               1.082 |       1 |   heasarc_mwsc |
|          NGC 6322 |  17 |  18 | 27.0 |   - |  42 |  55 |   8 | 99 | -99.0 | -99.0 | 10.185139398778876 |               1.089 |       1 |   heasarc_mwsc |
|          NGC 6514 |  18 |   2 | 35.0 |   - |  22 |  59 |   7 | 99 | -99.0 | -99.0 | 10.193100809748515 |               1.093 |       1 |   heasarc_mwsc |
|     Collinder 121 |   6 |  54 | 34.0 |   - |  24 |  19 |   5 | 99 | -99.0 | -99.0 | 10.199052770741751 |               1.096 |       1 |   heasarc_mwsc |
|          NGC 4463 |  12 |  29 | 56.0 |   - |  64 |  47 |   4 | 99 | -99.0 | -99.0 | 10.236374336920896 |               1.115 |       1 |   heasarc_mwsc |
|      Stephenson 2 |  18 |  39 | 40.0 |   - |   6 |   1 |   8 | 99 | -99.0 | -99.0 | 10.261545498236618 |  1.1280000000000001 |       1 |   heasarc_mwsc |
|          BDSB 105 |  18 |   7 | 31.0 |   - |  25 |  45 |   3 | 99 | -99.0 | -99.0 |  10.26346970962484 |               1.129 |       1 |   heasarc_mwsc |
| vdBergh-Hagen 202 |  16 |  55 | 11.0 |   - |  40 |  56 |   4 | 99 | -99.0 | -99.0 | 10.265392217417098 |  1.1300000000000001 |       1 |   heasarc_mwsc |
|        Czernik 39 |  19 |   7 | 32.0 |   + |   4 |  20 |   0 | 99 | -99.0 | -99.0 | 10.290231151976407 |               1.143 |       1 |   heasarc_mwsc |
|          NGC 6193 |  16 |  41 | 22.0 |   - |  48 |  45 |   3 | 99 | -99.0 | -99.0 | 10.318542796957086 |               1.158 |       1 |   heasarc_mwsc |
