COCD|Name             |  GLON|   GLAT|Dist|E(B-V)|logt|  r1|  r2|Sol|Sam| N2|  rc|e_rc|  rt|e_rt|   k| e_k| logM|e_logM
 441|NGC 6611         | 16.94|   0.80|1719|0.70  |6.72|0.08|0.22|4  |1  | 13| 0.9|0.7 | 7.8| 2.2| 2.9| 2.7|2.406|0.372
 442|Alessi 19        | 40.29|  12.63| 550|0.04  |8.05|0.20|0.75|2  |1  | 12| 5.9|2.4 |11.6| 2.2| 0.6| 0.3|2.801|0.252
 444|NGC 6618         | 15.05|  -0.70|1814|1.60  |6.78|0.09|0.30|1  |4  | 15| 8.5|3.9 |11.6| 1.5| 0.6| 0.2|2.923|0.176
 446|NGC 6633         | 36.01|   8.34| 385|0.18  |8.76|0.15|0.51|4  |3  | 57| 1.4|0.3 | 4.2| 0.3|19.4| 2.3|1.456|0.112
 449|IC 4725          | 13.68|  -4.41| 620|0.45  |7.83|0.20|0.60|4  |3  | 73| 1.5|0.2 |10.4| 1.1| 7.1| 1.0|2.677|0.143
 450|IC 4756          | 36.37|   5.26| 484|0.19  |8.79|0.35|1.00|4  |1  | 90| 2.7|0.3 |14.6| 1.0| 3.5| 0.3|3.097|0.102
 452|Ruprecht 145     | 16.51|  -8.01| 770|0.25  |8.64|0.15|0.37|4  |1  | 16| 1.7|0.6 | 7.1| 1.0| 2.2| 0.6|2.196|0.197
 454|NGC 6709         | 42.12|   4.72|1075|0.32  |8.14|0.10|0.22|4  |1  | 17| 1.2|0.5 | 6.0| 1.5| 3.8| 1.4|1.984|0.335
 455|Collinder 394    | 14.90|  -9.26| 703|0.24  |7.86|0.15|0.43|4  |1  | 20| 2.3|0.6 |10.2| 1.9| 1.4| 0.3|2.662|0.243
 456|Stephenson 1     | 66.81|  15.39| 373|0.04  |7.69|0.20|0.87|2  |1  | 16| 2.8|1.5 | 9.5| 3.4| 1.1| 0.4|2.522|0.460
 460|Ruprecht 147     | 20.99| -12.81| 175|0.15  |9.39|0.25|1.23|4  |2  | 71| 0.7|0.1 | 5.7| 1.0|26.7| 3.2|1.857|0.222
 463|Stock 1          | 60.25|   2.26| 350|0.17  |8.53|0.17|0.40|4  |2  | 22| 0.9|0.3 | 3.0| 0.6|15.7| 4.2|0.996|0.259
 464|NGC 6811         | 79.21|  12.02|1240|0.14  |8.76|0.10|0.30|4  |3  | 25| 1.7|0.6 | 5.9| 0.8| 4.5| 1.1|1.903|0.172
 465|NGC 6823         | 59.40|  -0.14|1893|0.84  |7.01|0.07|0.27|3  |2  | 10| 2.5|1.4 | 9.7| 1.7| 0.7| 0.3|2.612|0.232
 466|Turner 9         | 64.75|   2.51| 852|0.15  |8.06|0.40|0.80|3  |1  | 36|13.5|3.4 |20.6| 2.2| 0.7| 0.3|3.543|0.142
 471|Roslund 3        | 58.80|  -4.68|1515|0.34  |7.61|0.07|0.20|2  |2  | 16| 0.9|0.6 | 6.1| 2.4| 4.3| 3.1|1.997|0.513
 476|NGC 6871         | 72.64|   2.06|1574|0.44  |6.99|0.08|0.23|2  |1  | 10| 1.5|1.0 | 6.6| 1.5| 1.7| 0.9|2.064|0.306
 479|Roslund 5        | 71.47|   0.23| 418|0.10  |7.77|0.15|0.54|4  |1  | 13| 2.6|1.7 | 5.5| 2.0| 3.1| 3.1|1.805|0.471
 489|Roslund 6        | 78.06|   0.26| 450|0.06  |8.47|0.15|0.27|1  |4  | 16| 1.4|0.7 | 3.3| 0.8| 9.9| 5.1|1.134|0.332
 490|Cyg OB2          | 80.21|   0.79|1500|1.30  |6.72|0.17|0.60|3  |2  | 16| 2.5|0.8 |21.0| 3.7| 0.5| 0.2|3.548|0.232
 491|NGC 6940         | 69.85|  -7.15| 770|0.21  |8.94|0.16|0.50|4  |2  | 78| 1.6|0.3 | 7.8| 1.0|10.0| 1.5|2.267|0.165
 492|Alessi 12        | 67.41| -11.46| 537|0.08  |7.90|0.20|0.50|3  |1  | 16| 1.9|0.6 | 8.8| 1.9| 1.8| 0.4|2.415|0.290
 493|Roslund 7        | 79.80|  -4.22| 700|0.20  |8.67|0.11|0.43|1  |1  | 12| 1.4|0.5 | 6.9| 0.9| 2.0| 0.6|2.092|0.172
 494|NGC 6991         | 87.39|   1.60| 700|0.00  |9.11|0.10|0.42|4  |4  | 60| 3.8|0.8 | 7.4| 0.7| 7.5| 2.1|2.170|0.139
 497|NGC 7063         | 83.06|  -9.88| 689|0.09  |8.08|0.08|0.26|3  |2  | 16| 0.9|0.4 | 4.2| 1.0| 6.9| 2.8|1.430|0.308
 498|NGC 7082         | 91.16|  -2.87|1442|0.24  |7.91|0.10|0.35|4  |1  | 17| 4.7|1.9 |10.7| 1.4| 0.9| 0.2|2.644|0.174
 499|NGC 7092         | 92.41|  -2.23| 311|0.01  |8.57|0.28|0.88|3  |2  | 39| 1.2|0.3 | 6.7| 1.6| 7.0| 1.2|2.048|0.318
 500|IC 1396          | 99.28|   3.74| 835|0.47  |6.69|0.25|0.65|3  |2  | 22| 2.1|0.5 |11.7| 1.9| 1.4| 0.3|2.760|0.215
 502|NGC 7209         | 95.51|  -7.36|1167|0.16  |8.65|0.12|0.25|4  |1  | 18| 1.8|1.1 | 7.1| 3.7| 2.5| 1.3|2.109|0.678
 504|NGC 7243         | 98.85|  -5.52| 808|0.22  |8.09|0.17|0.52|4  |2  | 43| 1.6|0.3 |10.4| 0.9| 3.8| 0.8|2.597|0.125
 507|NGC 7281         |104.44|   0.29|1620|0.50  |7.86|0.09|0.20|3  |3  | 13| 3.5|2.6 | 5.0| 0.9| 3.8| 1.9|1.605|0.241
 508|NGC 7380         |107.10|  -0.88|2222|0.60  |6.72|0.10|0.25|1  |2  | 13| 1.7|1.1 |11.5| 5.0| 1.0| 0.6|2.654|0.572
 509|NGC 7438         |106.70|  -4.90| 600|0.40  |8.93|0.08|0.23|4  |3  | 16| 2.1|0.9 | 4.0| 0.5| 6.1| 1.6|1.338|0.183
 510|Cep OB3          |111.26|   2.98| 700|0.55  |7.44|0.30|1.00|2  |2  | 24| 7.0|1.5 |22.6| 3.1| 0.3| 0.1|3.599|0.186
 514|Stock 12         |111.44|  -8.48| 400|0.05  |8.45|0.12|0.37|4  |1  | 12| 0.6|0.3 | 4.0| 2.2| 8.1| 4.0|1.350|0.735
 515|Aveni-Hunter 1   |110.55| -12.58| 500|0.10  |8.26|0.15|0.50|2  |2  | 12| 3.7|1.4 | 7.1| 0.9| 1.4| 0.4|2.094|0.165
 518|NGC 7789         |115.51|  -5.38|2337|0.22  |9.23|0.10|0.27|4  |3  | 27| 4.2|1.5 |19.7| 5.3| 0.5| 0.1|3.313|0.353
1013|ASCC 13          |163.40|   3.26| 800|0.20  |7.71|0.25|0.70|4  |1  | 12| 5.2|2.3 |13.3| 3.7| 0.4| 0.2|2.853|0.366
1016|ASCC 16          |200.98| -18.35| 460|0.09  |6.93|0.25|0.62|4  |1  | 13| 2.9|0.8 | 8.0| 0.9| 1.2| 0.2|2.238|0.157
1019|ASCC 19          |204.88| -19.47| 350|0.01  |7.64|0.20|0.80|1  |3  | 14| 1.5|0.5 | 6.3| 0.7| 2.0| 0.5|1.940|0.144
1020|ASCC 20          |201.67| -17.53| 450|0.04  |7.35|0.25|0.75|4  |1  | 11| 5.6|2.9 |12.3| 3.7| 0.5| 0.3|2.794|0.396
1021|ASCC 21          |199.86| -16.49| 500|0.03  |7.11|0.30|0.80|4  |1  | 12| 4.3|1.3 |11.9| 2.2| 0.5| 0.1|2.746|0.240
1023|ASCC 23          |167.52|  14.42| 600|0.07  |8.45|0.15|0.36|3  |3  | 13| 4.0|2.2 | 6.2| 1.3| 2.7| 2.4|1.878|0.274
1032|ASCC 32          |237.88|  -9.61| 750|0.08  |8.18|0.12|0.50|4  |1  | 11| 3.4|1.4 | 7.8| 1.2| 1.1| 0.3|2.198|0.204
1044|ASCC 44          |264.92| -10.47|1100|0.18  |7.89|0.18|0.40|3  |2  | 13| 5.5|2.3 |13.7| 3.1| 0.4| 0.2|2.958|0.302
1047|ASCC 47          |258.26|   0.31| 900|0.10  |7.88|0.15|0.50|1  |2  | 11| 4.5|2.3 |10.8| 1.8| 0.3| 0.1|2.645|0.225
1048|ASCC 48          |257.39|   1.61| 400|0.00  |9.09|0.13|0.32|2  |4  | 19| 3.2|1.2 | 3.8| 0.3|14.3| 7.6|1.294|0.121
1051|ASCC 51          |286.24| -14.08| 500|0.05  |8.53|0.20|0.66|4  |2  | 32| 4.1|0.7 | 9.6| 0.7| 2.1| 0.2|2.524|0.098
1056|ASCC 56          |286.39|  -6.87| 800|0.11  |8.08|0.16|0.35|3  |4  | 19| 7.9|4.4 | 6.7| 0.7| 5.8| 5.7|2.071|0.137
1073|ASCC 73          |301.49|  -4.46| 650|0.05  |8.19|0.10|0.40|1  |4  | 24| 3.9|1.2 | 6.8| 0.6| 2.9| 0.5|2.106|0.121
1077|ASCC 77          |312.00|  -0.86|2200|0.30  |6.99|0.15|0.32|2  |2  | 16|10.3|4.2 |18.6| 2.2| 0.2| 0.1|3.504|0.156
1087|ASCC 87          |355.15|   8.02| 900|0.26  |8.52|0.15|0.55|1  |2  | 12| 8.3|3.1 |12.7| 1.2| 0.5| 0.1|2.968|0.132
1088|ASCC 88          |349.88|   3.08|1900|0.50  |7.17|0.30|0.55|4  |1  | 11|17.5|6.9 |28.4| 3.7| 0.1| 0.0|4.107|0.174
1089|ASCC 89          |329.04| -14.56| 500|0.10  |7.03|0.45|1.10|2  |1  | 12| 7.5|2.7 |13.2| 2.1| 0.5| 0.3|2.975|0.209
1095|ASCC 95          |  6.15|  -4.27|1500|0.32  |8.04|0.10|0.32|2  |2  | 11| 6.4|4.7 |13.5| 4.8| 0.4| 0.4|3.100|0.466
1097|ASCC 97          | 14.16|  -5.56| 800|0.40  |7.88|0.15|0.43|3  |2  | 11| 4.3|1.9 | 9.0| 1.4| 0.7| 0.2|2.503|0.214
1101|ASCC 101         | 67.99|  11.59| 350|0.00  |8.52|0.15|0.36|3  |2  | 14| 2.3|1.0 | 3.2| 0.4|11.0| 5.9|1.083|0.172
1111|ASCC 111         | 74.62|   2.08|1600|0.30  |7.05|0.20|0.55|4  |1  | 27|10.5|3.4 |27.3| 6.1| 0.2| 0.1|3.908|0.291
1112|ASCC 112         | 87.47|   9.30| 550|0.08  |8.15|0.10|0.22|4  |2  | 15| 2.0|1.1 | 3.2| 0.4|11.1| 4.7|1.068|0.189
1117|ASCC 117         |104.85|   5.39|1200|0.30  |6.67|0.11|0.35|2  |2  | 10| 3.0|1.6 |10.1| 2.3| 0.6| 0.2|2.540|0.305
1124|ASCC 124         |101.73| -11.48| 600|0.15  |8.48|0.10|0.30|1  |3  | 11| 3.7|2.0 | 5.2| 0.9| 3.5| 2.9|1.711|0.237
1127|ASCC 127         |112.26|   4.13| 350|0.10  |7.82|0.18|0.72|4  |1  | 12| 4.4|1.5 | 7.4| 0.9| 1.6| 0.7|2.156|0.161
1128|ASCC 128         |109.93|  -5.96| 900|0.13  |8.44|0.15|0.35|1  |2  | 11| 6.7|3.6 | 7.8| 0.9| 1.9| 1.3|2.215|0.156
