COCD|Name             |  GLON|   GLAT|Dist|E(B-V)|logt|  r1|  r2|Sol|Sam| N2|  rc|e_rc|  rt|e_rt|   k| e_k| logM|e_logM
 118|NGC 2323         |221.66|  -1.33| 881|0.21  |8.13|0.10|0.37|4  |2  | 61| 1.5|0.3 | 8.7| 1.2| 7.3| 1.4|2.313|0.190
 119|vdBergh 92       |224.57|  -2.49|1500|0.25  |7.59|0.08|0.20|3  |2  | 13| 4.0|2.2 | 8.2| 2.0| 1.3| 0.7|2.178|0.318
 120|NGC 2335         |223.60|  -1.18|1417|0.39  |8.08|0.09|0.25|2  |4  | 17| 1.7|0.9 | 7.9| 1.6| 1.5| 0.7|2.135|0.266
 124|Haffner 23       |230.00|  -3.81|1000|0.10  |8.84|0.10|0.20|2  |3  | 11| 2.5|1.9 | 3.7| 0.9| 6.5| 5.6|1.199|0.305
 125|Alessi 21        |223.44|   0.00| 500|0.07  |7.47|0.10|0.50|3  |1  | 10| 0.8|0.5 | 7.3| 5.3| 2.6| 1.4|2.126|0.945
 128|NGC 2353         |224.69|   0.38|1119|0.07  |7.05|0.10|0.25|4  |1  | 12| 1.4|1.2 | 6.0| 3.9| 2.2| 1.3|1.811|0.842
 129|Alessi 3         |257.84| -15.37| 288|0.11  |8.87|0.15|0.55|3  |1  | 10| 0.3|0.2 | 4.4| 2.2|13.3| 9.0|1.496|0.642
 130|NGC 2358         |231.05|  -2.30| 630|0.02  |8.72|0.08|0.27|3  |4  | 25| 1.7|0.5 | 5.4| 1.1| 5.9| 1.6|1.734|0.264
 132|NGC 2360         |229.80|  -1.43|1887|0.11  |8.59|0.10|0.25|4  |1  | 22| 1.4|0.6 | 9.9| 2.3| 2.4| 1.1|2.406|0.300
 133|Collinder 135    |249.12| -11.19| 319|0.04  |7.54|0.20|1.10|3  |1  | 26| 3.3|0.7 | 9.8| 1.4| 1.7| 0.3|2.537|0.189
 134|NGC 2362         |238.20|  -5.57|1389|0.10  |6.64|0.06|0.25|4  |4  | 28| 0.6|0.4 | 6.2| 0.9|11.3| 8.8|1.852|0.200
 137|NGC 2374         |228.41|   1.02|1468|0.09  |8.68|0.10|0.27|4  |1  | 13| 6.8|3.1 |11.6| 2.0| 0.7| 0.4|2.643|0.223
 141|NGC 2396         |227.52|   2.63| 588|0.05  |8.52|0.09|0.22|3  |3  | 15| 0.6|0.3 | 2.1| 0.4|19.6| 8.8|0.477|0.246
 147|NGC 2422         |230.95|   3.13| 491|0.07  |8.12|0.13|0.51|2  |1  | 31| 1.2|0.3 | 6.1| 0.7| 6.5| 1.4|1.889|0.156
 148|NGC 2423         |230.48|   3.53| 766|0.10  |8.98|0.11|0.46|4  |2  | 73| 1.4|0.3 | 9.6| 1.3| 7.9| 1.3|2.458|0.182
 149|Ruprecht 26      |232.05|   2.69|1440|0.10  |7.49|0.10|0.20|2  |4  | 12| 4.1|2.1 | 6.6| 0.9| 2.3| 0.6|1.915|0.182
 155|Haffner 13       |245.00|  -3.73| 714|0.05  |7.51|0.10|0.48|2  |2  | 11| 0.5|0.3 | 5.5| 1.3| 6.0| 5.6|1.755|0.299
 159|NGC 2451A        |252.50|  -7.69| 188|0.00  |7.76|0.75|1.65|3  |2  | 40| 3.1|0.6 | 8.9| 1.1| 3.1| 0.6|2.411|0.168
 160|NGC 2437         |231.85|   4.05|1375|0.15  |8.16|0.12|0.38|4  |3  |108| 2.6|0.4 |11.6| 1.4| 5.9| 0.8|2.656|0.168
 162|NGC 2451B        |252.05|  -6.73| 430|0.05  |7.88|0.20|0.40|2  |2  | 11| 2.5|1.2 | 4.2| 0.6| 4.0| 1.6|1.415|0.190
 163|NGC 2447         |240.05|   0.15|1037|0.05  |8.76|0.10|0.32|4  |1  | 50| 1.3|0.3 | 9.4| 1.5| 6.0| 1.5|2.422|0.219
 167|NGC 2477         |253.56|  -5.84|1222|0.28  |8.61|0.10|0.22|4  |1  | 10| 1.9|1.0 | 6.5| 1.2| 1.6| 0.5|1.953|0.251
 168|ESO 123-26       |273.11| -16.32| 550|0.13  |8.33|0.10|0.22|3  |3  | 16| 0.8|0.4 | 3.5| 0.9| 8.6| 3.1|1.201|0.350
 171|NGC 2482         |241.62|   2.03|1343|0.09  |8.48|0.08|0.22|4  |3  | 26| 1.0|0.4 | 7.9| 2.2| 5.0| 2.3|2.188|0.356
 175|NGC 2516         |273.81| -15.85| 346|0.07  |8.08|0.20|0.70|4  |1  | 31| 1.9|0.4 | 7.1| 0.9| 4.3| 0.7|2.126|0.174
 180|NGC 2527         |246.09|   1.85| 601|0.04  |8.85|0.12|0.50|4  |2  | 47| 0.5|0.2 | 9.6| 4.2|20.6| 8.4|2.488|0.570
 181|ESO 430-18       |248.57|   0.75| 830|0.00  |9.05|0.08|0.20|2  |4  | 11| 0.4|0.4 | 2.4| 0.8|18.8|18.0|0.672|0.444
 182|Vel OB2          |263.28|  -7.99| 411|0.03  |7.26|0.50|1.20|1  |1  | 28| 8.7|2.0 |13.7| 1.3| 1.1| 0.5|2.973|0.129
 183|NGC 2547         |264.46|  -8.60| 457|0.04  |7.70|0.13|0.30|4  |3  | 28| 0.9|0.5 | 3.2| 1.3|18.6| 8.8|1.076|0.540
 184|NGC 2539         |233.73|  11.11|1363|0.08  |8.75|0.15|0.50|4  |2  | 73| 2.0|0.4 |18.2| 3.6| 3.0| 0.6|3.252|0.260
 186|NGC 2546         |254.83|  -2.05| 919|0.13  |7.92|0.25|0.61|4  |1  | 49| 3.8|0.6 |16.8| 1.8| 1.2| 0.2|3.218|0.147
 187|Ruprecht 55      |250.69|   0.81|4892|0.56  |6.97|0.07|0.20|2  |3  | 12| 9.0|4.8 |22.3| 3.9| 0.1| 0.0|3.281|0.232
 188|Ruprecht 56      |257.29|  -3.52| 410|0.12  |8.70|0.11|0.36|1  |4  | 13| 0.5|0.2 | 2.2| 0.3|20.3| 8.7|0.602|0.174
 189|NGC 2548         |227.87|  15.39| 769|0.03  |8.75|0.25|0.73|4  |2  | 84| 1.5|0.2 |14.5| 1.8| 5.9| 0.9|2.994|0.165
 193|NGC 2571         |249.10|   3.53|1339|0.14  |7.22|0.10|0.30|4  |1  | 11| 1.3|0.7 | 9.2| 2.3| 1.4| 0.9|2.403|0.326
 196|Pismis 4         |262.91|  -2.47| 593|0.01  |8.11|0.10|0.40|3  |2  | 22| 3.4|0.9 | 6.9| 0.7| 2.7| 0.5|2.081|0.135
 198|Ruprecht 64      |259.75|   0.53| 800|0.06  |8.45|0.18|0.62|4  |4  | 61| 3.7|0.6 |12.7| 1.4| 2.4| 0.3|2.859|0.148
 201|NGC 2632         |205.89|  32.48| 187|0.01  |8.90|0.60|3.00|4  |3  |154| 0.8|0.1 |17.1| 1.2|21.7| 1.8|3.257|0.103
 202|IC 2391          |270.36|  -6.83| 176|0.01  |7.88|0.35|1.25|3  |2  | 33| 1.2|0.4 | 7.8| 2.5| 5.6| 0.8|2.244|0.413
 205|IC 2395          |266.63|  -3.59| 709|0.07  |7.08|0.10|0.35|2  |1  | 10| 0.5|0.3 | 5.9| 2.6| 6.1| 5.4|1.877|0.583
 209|NGC 2669         |270.82|  -6.07|1046|0.18  |7.97|0.08|0.25|3  |2  | 13| 0.7|0.5 | 4.0| 1.2| 6.6| 4.9|1.354|0.382
 210|Trumpler 10      |262.76|   0.64| 417|0.03  |7.38|0.20|0.75|2  |1  | 17| 2.2|0.6 |10.4| 2.2| 1.3| 0.3|2.608|0.274
