x_min x_max x_center mean median std n_orig n_match n_found
0.001 0.001584893192461114 0.0012924465962305572 nan 0.0 nan 0 0 0
0.001584893192461114 0.0025118864315095794 0.002048389811985347 nan 0.0 nan 0 0 0
0.0025118864315095794 0.003981071705534973 0.0032464790685222764 nan 0.0 nan 0 0 0
0.003981071705534973 0.00630957344480193 0.005145322575168452 nan 0.0 nan 0 0 0
0.00630957344480193 0.01 0.008154786722400966 nan 0.0 nan 0 0 0
0.01 0.01584893192461114 0.012924465962305572 90.50767975315091 74.58711614358843 49.72744947558533 50 0 0
0.01584893192461114 0.025118864315095808 0.020483898119853475 51.64518546557099 44.01147662442114 24.93490910759837 68 0 0
0.025118864315095808 0.039810717055349734 0.032464790685222775 29.47623194537531 25.874163252255432 12.24749593505627 82 0 0
0.039810717055349734 0.06309573444801933 0.05145322575168453 19.110506900047106 16.66078546674033 7.163132064085334 106 0 0
0.06309573444801933 0.1 0.08154786722400967 12.32643741930442 10.269613599999154 5.744012632187549 172 0 0
0.1 0.15848931924611143 0.1292446596230557 9.313745856159453 6.9485207614952795 5.466328929402444 163 0 0
0.15848931924611143 0.25118864315095824 0.20483898119853483 5.1995094766728664 4.242345195101799 2.603973576728485 142 0 0
0.25118864315095824 0.3981071705534973 0.3246479068522278 2.4906213237330492 2.2264424240778995 1.0610084541273999 186 0 0
0.3981071705534973 0.6309573444801936 0.5145322575168454 1.0295635135458945 1.004523488733685 0.09746105768618624 644 826 826
0.6309573444801936 1.0 0.8154786722400968 0.9911694871359962 0.9923885545949136 0.03368224557154325 1370 1747 1747
1.0 1.584893192461114 1.292446596230557 0.9986362604185445 0.9982414247569231 0.01160795896960358 846 1051 1051
1.584893192461114 2.5118864315095824 2.048389811985348 0.9985171717901556 0.9985097541062654 0.00919612447209883 511 627 627
2.5118864315095824 3.981071705534973 3.2464790685222775 0.9969605403517129 0.9988934450400073 0.017319304955467164 249 279 279
3.981071705534973 6.309573444801936 5.145322575168454 0.9996426565029236 0.9995408284547136 0.0034121654581363422 146 183 183
6.309573444801936 10.0 8.154786722400967 0.9995502780436879 0.9997272771216692 0.002631903979030018 91 95 95
10.0 15.848931924611142 12.924465962305572 0.9999614353557696 1.0000167074120383 0.000671505860502271 33 47 47
15.848931924611142 25.11886431509582 20.48389811985348 0.8596685868073035 0.9997566681208678 0.3269817726569385 25 27 27
25.11886431509582 39.81071705534978 32.464790685222795 1.0000183445912247 0.9998551138310131 0.001831011548274895 18 19 19
39.81071705534978 63.09573444801943 51.4532257516846 0.7811623052353576 0.99912418945763 0.4083612730252602 9 7 7
63.09573444801943 100.0 81.5478672240097 1.0032922863858893 0.9999989222594046 0.005751252606726827 9 12 12
