x_min x_max x_center mean median std n_orig n_match n_found
0.001 0.001584893192461114 0.0012924465962305572 nan 0.0 nan 0 0 0
0.001584893192461114 0.0025118864315095794 0.002048389811985347 nan 0.0 nan 0 0 0
0.0025118864315095794 0.003981071705534973 0.0032464790685222764 nan 0.0 nan 0 0 0
0.003981071705534973 0.00630957344480193 0.005145322575168452 nan 0.0 nan 0 0 0
0.00630957344480193 0.01 0.008154786722400966 nan 0.0 nan 0 0 0
0.01 0.01584893192461114 0.012924465962305572 4824.029983659737 5257.409828161468 2566.4553375353225 296 0 0
0.01584893192461114 0.025118864315095808 0.020483898119853475 3230.153447810487 3713.2705408592137 1664.9370940426245 418 0 0
0.025118864315095808 0.039810717055349734 0.032464790685222775 1875.5607734890898 1865.7885281231552 1015.934783318046 631 0 0
0.039810717055349734 0.06309573444801933 0.05145322575168453 1213.9550225827375 1324.3245804315807 655.1356397219747 812 0 0
0.06309573444801933 0.1 0.08154786722400967 769.9505902449819 825.074372796825 414.8341047957402 1056 0 0
0.1 0.15848931924611143 0.1292446596230557 487.97159239763977 496.1961514145187 267.662840663508 896 0 0
0.15848931924611143 0.25118864315095824 0.20483898119853483 319.7128161222513 375.32945653818024 167.34654139773957 826 0 0
0.25118864315095824 0.3981071705534973 0.3246479068522278 198.8556293761368 216.4762797973058 105.24362526994966 743 0 0
0.3981071705534973 0.6309573444801936 0.5145322575168454 127.20131201441627 145.19837987586453 67.55229558824986 566 0 0
0.6309573444801936 1.0 0.8154786722400968 78.2103146639403 89.77040454032146 42.29917007588996 347 0 0
1.0 1.584893192461114 1.292446596230557 50.30127307463786 56.59779050237721 26.771894221337455 182 0 0
1.584893192461114 2.5118864315095824 2.048389811985348 31.767744707223294 34.035793178168404 17.053128102065013 117 0 0
2.5118864315095824 3.981071705534973 3.2464790685222775 17.64128431280872 14.493195494417904 10.928187310542425 68 0 0
3.981071705534973 6.309573444801936 5.145322575168454 12.135732997969727 9.703950692067616 7.193613133675247 43 0 0
6.309573444801936 10.0 8.154786722400967 5.423941748584758 3.5232279312484 3.7858878295209224 25 5 5
10.0 15.848931924611142 12.924465962305572 3.513841541206376 2.4161530334648447 2.2866588136127715 38 279 279
15.848931924611142 25.11886431509582 20.48389811985348 3.2173277809087444 3.0643112768666665 1.2639698187325719 45 1160 1160
25.11886431509582 39.81071705534978 32.464790685222795 2.6026332329887367 2.6251590543141483 0.5891498223507785 30 1309 1309
39.81071705534978 63.09573444801943 51.4532257516846 1.883674079503861 1.889302669001593 0.2211800088984259 16 814 814
63.09573444801943 100.0 81.5478672240097 1.1324153505318462 1.0490873921764754 0.16180786380770323 16 3604 3604
