x_min x_max x_center mean median std n_orig n_match n_found
0.001 0.001584893192461114 0.0012924465962305572 nan 0.0 nan 0 0 0
0.001584893192461114 0.0025118864315095794 0.002048389811985347 nan 0.0 nan 0 0 0
0.0025118864315095794 0.003981071705534973 0.0032464790685222764 nan 0.0 nan 0 0 0
0.003981071705534973 0.00630957344480193 0.005145322575168452 nan 0.0 nan 0 0 0
0.00630957344480193 0.01 0.008154786722400966 nan 0.0 nan 0 1 1
0.01 0.01584893192461114 0.012924465962305572 1.0474301607801022 1.0407683121376916 0.12389526368957296 36 35 35
0.01584893192461114 0.025118864315095808 0.020483898119853475 1.1476162030154213 1.0834114794092282 0.3079779096014439 53 49 49
0.025118864315095808 0.039810717055349734 0.032464790685222775 0.9936655012433919 1.0089338646175876 0.23966762162113853 66 56 56
0.039810717055349734 0.06309573444801933 0.05145322575168453 0.9991063637133487 0.9947646008822388 0.05390903977890361 120 126 126
0.06309573444801933 0.1 0.08154786722400967 0.9983443173925356 0.9992527412396232 0.02023724943142991 146 145 145
0.1 0.15848931924611143 0.1292446596230557 1.0004696081686526 1.00049949059239 0.005793288068031454 130 142 142
0.15848931924611143 0.25118864315095824 0.20483898119853483 0.9995275901911331 0.9997557621733392 0.0035205557551338047 120 120 120
0.25118864315095824 0.3981071705534973 0.3246479068522278 0.9997876003768807 0.9997864044476302 0.0021826432311379965 94 93 93
0.3981071705534973 0.6309573444801936 0.5145322575168454 0.9999750383243875 0.9999268367816787 0.0007286494457638782 96 95 95
0.6309573444801936 1.0 0.8154786722400968 1.0000124786250806 1.0000101097971503 0.0004033796596745623 67 64 64
1.0 1.584893192461114 1.292446596230557 0.9999633262979364 0.9999595524054712 8.890616119851824e-05 34 34 34
1.584893192461114 2.5118864315095824 2.048389811985348 0.9999609861668757 0.9999766093210525 6.180173446467856e-05 20 19 19
2.5118864315095824 3.981071705534973 3.2464790685222775 0.9998651071743545 0.9999204434157123 0.00018393137248435236 4 4 4
3.981071705534973 6.309573444801936 5.145322575168454 0.9999835457119646 0.9999803915688401 2.0344396745979562e-05 7 7 7
6.309573444801936 10.0 8.154786722400967 0.9999874420100799 0.9999941991209194 1.7590196682582733e-05 6 6 6
10.0 15.848931924611142 12.924465962305572 1.0000023660144663 1.0000023660144663 0.0 1 1 1
15.848931924611142 25.11886431509582 20.48389811985348 nan 0.0 nan 0 0 0
25.11886431509582 39.81071705534978 32.464790685222795 nan 0.0 nan 0 0 0
39.81071705534978 63.09573444801943 51.4532257516846 0.9999951551620629 0.9999951551620629 6.563838839346303e-06 2 2 2
63.09573444801943 100.0 81.5478672240097 nan 0.0 nan 0 0 0
