# Results from heasarc_mwsc : Milky Way Star Clusters Catalog
# Coordinate system :  Equatorial
# source :  https://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dmwsc&Action=More+Options
# notes : queried for Dec < +35 deg
|name             |ra      |dec     |core_radius|central_radius|cluster_radius|rad_vel |rad_vel_error|distance|log_age|log_age_error|cluster_type|class                                              |
|ASCC 21          |05 29 02|+03 33.6|      0.050|         0.320|         0.850|   19.94|         1.14|     379|  7.110|             |            |                          OB ASSOCIATION/HII REGION|
|Collinder 70     |05 35 47|-00 52.8|      0.075|         0.360|         0.880|   19.87|         2.19|     379|  7.400|             |            |                          OB ASSOCIATION/HII REGION|
|Chamaleon I      |11 03 36|-77 20.4|      0.030|         0.220|         0.360|        |             |     380|  6.000|             |irc         |                                  OPEN STAR CLUSTER|
|ASCC 24          |06 28 44|-06 58.8|      0.020|         0.120|         0.290|   16.35|         3.31|     381|  7.300|             |            |                                       UNIDENTIFIED|
|Alessi 5         |10 43 19|-61 10.2|      0.030|         0.235|         0.350|    8.25|         6.69|     384|  7.765|             |            |                                  OPEN STAR CLUSTER|
|NGC 6633         |18 27 21|+06 30.0|      0.030|         0.200|         0.365|  -25.43|         3.79|     385|  8.760|             |            |                                  OPEN STAR CLUSTER|
|Collinder 140    |07 24 07|-31 53.4|      0.040|         0.250|         0.490|   22.93|         0.83|     386|  7.700|             |            |                                  OPEN STAR CLUSTER|
|Mamajek 4        |18 26 08|-50 57.3|      0.090|         0.435|         0.550|  -43.40|         1.60|     386|  8.815|        0.062|            |                                  OPEN STAR CLUSTER|
|NGC 1981         |05 35 06|-04 25.2|      0.025|         0.150|         0.220|   27.94|         2.40|     388|  7.110|        0.001|            |                                             NEBULA|
|Sigma Ori        |05 38 44|-02 36.0|      0.030|         0.280|         0.400|   29.45|         0.45|     390|  6.100|             |            |                                       UNIDENTIFIED|
|ASCC 20          |05 28 45|+01 38.4|      0.050|         0.260|         0.725|   22.97|         4.80|     394|  7.000|             |            |                                  OPEN STAR CLUSTER|
|ASCC 16          |05 24 09|+01 38.4|      0.050|         0.310|         0.660|   30.00|             |     397|  7.000|             |ass         |                                  OPEN STAR CLUSTER|
|ASCC 41          |07 46 59|+00 01.2|      0.015|         0.095|         0.260|        |             |     397|  8.700|             |            |                                  OPEN STAR CLUSTER|
|Turner 5         |09 33 16|-36 24.6|      0.050|         0.400|         0.900|   11.41|         2.69|     400|  8.490|             |            |                                       UNIDENTIFIED|
|NGC 1901         |05 18 14|-68 26.4|      0.020|         0.185|         0.335|   -2.08|         7.13|     406|  8.850|             |            |                                  OPEN STAR CLUSTER|
|Collinder 69     |05 35 20|+09 49.8|      0.075|         0.260|         0.535|   31.38|         1.42|     411|  6.760|             |            |                                  OPEN STAR CLUSTER|
|vdBergh-Hagen 23 |08 13 59|-36 20.0|      0.018|         0.150|         0.320|   17.40|         0.60|     414|  7.140|             |            |                          OB ASSOCIATION/HII REGION|
|Trumpler 10      |08 47 29|-42 24.0|      0.030|         0.220|         0.390|   15.00|        15.00|     417|  7.380|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 56      |08 12 40|-40 29.1|      0.010|         0.110|         0.305|        |             |     429|  8.745|             |            |                                  OPEN STAR CLUSTER|
