# Results from heasarc_mwsc : Milky Way Star Clusters Catalog
# Coordinate system :  Equatorial
# source :  https://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dmwsc&Action=More+Options
# notes : queried for Dec < +35 deg
|name             |ra      |dec     |core_radius|central_radius|cluster_radius|rad_vel |rad_vel_error|distance|log_age|log_age_error|cluster_type|class                                              |
|MWSC 4602        |21 02 46|+10 45.9|      0.018|         0.130|         0.230|        |             |    1274|  8.785|             |            |                                  OPEN STAR CLUSTER|
|Collinder 469    |18 16 30|-18 18.0|      0.020|         0.090|         0.135|        |             |    1277|  8.000|             |            |                                  OPEN STAR CLUSTER|
|ESO 311-14       |07 49 24|-42 41.1|      0.012|         0.070|         0.140|        |             |    1278|  7.740|             |dub         |                                  OPEN STAR CLUSTER|
|Collinder 258    |12 27 14|-60 46.5|      0.020|         0.100|         0.195|   14.90|         0.93|    1278|  8.350|             |            |                          OB ASSOCIATION/HII REGION|
|FSR 1645         |13 21 07|-61 55.5|      0.020|         0.100|         0.170|        |             |    1278|  8.000|             |irc         |                                  OPEN STAR CLUSTER|
|Loden 1339       |14 33 29|-62 01.0|      0.012|         0.055|         0.095|        |             |    1278|  8.090|             |            |                                  OPEN STAR CLUSTER|
|NGC 6031         |16 07 39|-54 01.1|      0.018|         0.080|         0.140|   -2.48|         1.34|    1278|  8.195|        0.024|            |                                  OPEN STAR CLUSTER|
|ASCC 80          |15 24 45|-60 07.7|      0.020|         0.170|         0.315|  -25.00|        20.00|    1281|  8.375|             |            |                                  OPEN STAR CLUSTER|
|vdBergh-Hagen 84 |10 01 21|-58 12.9|      0.012|         0.060|         0.095|        |             |    1282|  7.700|             |            |                                  OPEN STAR CLUSTER|
|vdBergh-Hagen 92 |10 19 07|-56 25.4|      0.015|         0.070|         0.120|        |             |    1282|  8.910|        0.012|            |                                  OPEN STAR CLUSTER|
|Trumpler 33      |18 24 41|-19 43.2|      0.010|         0.060|         0.110|   -3.80|         0.40|    1282|  7.840|             |            |                                  OPEN STAR CLUSTER|
|FSR 1460         |09 07 39|-47 49.5|      0.018|         0.090|         0.170|        |             |    1285|  8.835|        0.009|            |                                  OPEN STAR CLUSTER|
|Ruprecht 85      |10 01 41|-55 00.9|      0.020|         0.065|         0.100|        |             |    1286|  8.700|             |            |                                  OPEN STAR CLUSTER|
|FSR 1136         |06 24 45|-10 15.9|      0.010|         0.070|         0.150|        |             |    1287|  8.200|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5351        |17 23 13|+05 20.5|      0.018|         0.070|         0.120|        |             |    1288|  9.200|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5672        |07 15 20|-78 26.4|      0.013|         0.075|         0.135|        |             |    1288|  9.490|             |            |                                  OPEN STAR CLUSTER|
|Dias 5           |18 17 38|-19 39.6|      0.010|         0.095|         0.135|   -5.25|         2.25|    1289|  8.100|             |            |                                  OPEN STAR CLUSTER|
|Turner 2         |18 16 55|-19 03.9|      0.020|         0.100|         0.165|  -15.70|             |    1290|  7.900|             |            |                                  OPEN STAR CLUSTER|
|FSR 1145         |07 42 31|-01 02.2|      0.020|         0.105|         0.165|        |             |    1292|  7.900|             |            |                                  OPEN STAR CLUSTER|
|NGC 2670         |08 45 34|-48 49.2|      0.018|         0.070|         0.110|   17.20|         0.83|    1294|  8.140|             |            |                                  OPEN STAR CLUSTER|
|FSR 0929         |06 25 34|+17 43.2|      0.010|         0.065|         0.145|   47.20|             |    1296|  8.495|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 1159         |06 57 55|-08 44.7|      0.015|         0.060|         0.100|        |             |    1296|  7.450|             |            |                                  OPEN STAR CLUSTER|
|FSR 1435         |08 57 05|-43 45.9|      0.025|         0.100|         0.230|        |             |    1296|  6.000|             |            |                                  OPEN STAR CLUSTER|
|FSR 1200         |07 07 59|-12 27.8|      0.020|         0.080|         0.170|        |             |    1297|  8.715|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 164     |11 30 50|-60 45.0|      0.020|         0.090|         0.150|   -3.00|         7.40|    1297|  7.700|             |            |                                  OPEN STAR CLUSTER|
|ASCC 88          |17 06 50|-35 34.8|      0.075|         0.375|         0.540|    1.75|         1.75|    1297|  7.000|             |            |                                  OPEN STAR CLUSTER|
|FSR 1077         |06 42 04|-00 53.0|      0.022|         0.075|         0.170|        |             |    1298|  8.935|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 1326         |07 14 28|-34 18.3|      0.020|         0.070|         0.140|        |             |    1298|  8.780|        0.090|            |                                  OPEN STAR CLUSTER|
|FSR 1280         |08 48 27|-11 12.6|      0.020|         0.090|         0.180|        |             |    1298|  8.600|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 103     |12 16 55|-58 25.0|      0.012|         0.070|         0.115|        |             |    1298|  9.110|             |ast         |                                  OPEN STAR CLUSTER|
|IC 1023          |14 32 20|-35 49.2|      0.025|         0.085|         0.135|        |             |    1298|  9.480|        0.001|ast         |                                  OPEN STAR CLUSTER|
|FSR 0775         |05 25 42|+34 57.4|      0.015|         0.070|         0.140|        |             |    1300|  8.720|        0.130|irc         |                                  OPEN STAR CLUSTER|
|Ruprecht 71      |08 49 21|-46 52.7|      0.015|         0.095|         0.155|        |             |    1300|  8.840|             |            |                                  OPEN STAR CLUSTER|
|FSR 0131         |19 30 43|+15 25.7|      0.010|         0.065|         0.110|        |             |    1303|  6.700|             |irc         |                                  OPEN STAR CLUSTER|
|NGC 6682         |18 39 39|-04 48.0|      0.012|         0.075|         0.110|        |             |    1304|  6.500|             |ast         |                                  OPEN STAR CLUSTER|
|Loden 480        |11 55 37|-58 23.4|      0.020|         0.080|         0.140|        |             |    1305|  8.700|        0.054|            |                                  OPEN STAR CLUSTER|
|FSR 0129         |19 26 58|+13 58.5|      0.011|         0.060|         0.100|        |             |    1305|  8.480|             |irc         |                                  OPEN STAR CLUSTER|
|LDN 1495W        |04 14 33|+28 29.4|      0.050|         0.300|         0.550|   12.30|         2.50|    1306|  8.200|             |irc         |                                             NEBULA|
|FSR 0999         |06 43 53|+09 25.5|      0.020|         0.090|         0.160|        |             |    1306|  8.850|             |            |                                  OPEN STAR CLUSTER|
|NGC 4609         |12 42 18|-62 59.4|      0.025|         0.090|         0.155|   22.00|         7.00|    1308|  8.100|        0.062|            |                                  OPEN STAR CLUSTER|
|NGC 6618         |18 20 35|-16 09.0|      0.040|         0.210|         0.290|   -4.00|             |    1308|  6.000|             |            |                                             NEBULA|
|MWSC 5022        |08 16 24|+00 27.0|      0.020|         0.085|         0.130|        |             |    1308|  9.170|        0.084|            |                                  OPEN STAR CLUSTER|
|NGC 2671         |08 46 13|-41 52.0|      0.010|         0.085|         0.185|        |             |    1309|  8.530|             |            |                                  OPEN STAR CLUSTER|
|NGC 2302         |06 51 52|-07 04.8|      0.020|         0.080|         0.170|        |             |    1310|  8.350|             |            |                                  OPEN STAR CLUSTER|
|Lynga 1          |14 00 00|-62 09.0|      0.012|         0.085|         0.155|  -24.31|         0.52|    1312|  8.390|             |            |                                  OPEN STAR CLUSTER|
|FSR 1773         |18 53 14|-42 07.5|      0.018|         0.085|         0.135|        |             |    1312|  9.200|             |            |                                  OPEN STAR CLUSTER|
|MWSC 4228        |15 54 32|-30 39.6|      0.020|         0.160|         0.260|        |             |    1312|  8.740|        0.020|            |                                  OPEN STAR CLUSTER|
|NGC 2467         |07 52 18|-26 25.7|      0.020|         0.070|         0.095|   55.75|         9.68|    1313|  8.100|             |            |                                             NEBULA|
|Dolidze 35       |19 25 25|+11 38.1|      0.018|         0.060|         0.105|        |             |    1317|  8.300|             |dub         |                                  OPEN STAR CLUSTER|
|Basel 11B        |05 58 15|+21 59.4|      0.015|         0.085|         0.180|        |             |    1318|  8.980|        0.015|            |                                  OPEN STAR CLUSTER|
|Dolidze 52       |18 23 55|-16 38.4|      0.015|         0.080|         0.130|        |             |    1318|  7.300|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5191        |13 14 26|-34 11.4|      0.012|         0.095|         0.161|        |             |    1318|  8.975|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5319        |16 21 00|-15 08.6|      0.020|         0.090|         0.165|        |             |    1326|  9.500|             |            |                                  OPEN STAR CLUSTER|
|Lynga 14         |16 54 59|-45 14.4|      0.010|         0.055|         0.095|        |             |    1327|  7.750|             |            |                                  OPEN STAR CLUSTER|
|NGC 2251         |06 34 37|+08 22.2|      0.025|         0.095|         0.180|  -16.00|         7.40|    1329|  8.455|        0.074|            |                                  OPEN STAR CLUSTER|
|Loden 165        |10 35 56|-58 44.0|      0.010|         0.060|         0.115|        |             |    1330|  8.250|             |            |                                             NEBULA|
|Loden 1225       |14 09 22|-59 43.5|      0.025|         0.130|         0.210|        |             |    1330|  8.670|             |            |                                  OPEN STAR CLUSTER|
|FSR 1703         |15 41 58|-54 58.8|      0.012|         0.060|         0.115|        |             |    1330|  8.550|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 76      |09 24 16|-51 39.6|      0.012|         0.060|         0.120|   18.00|             |    1332|  8.150|             |            |                                  OPEN STAR CLUSTER|
|Loden 1002       |13 54 36|-65 20.1|      0.018|         0.085|         0.140|        |             |    1332|  8.000|             |dub         |                                  OPEN STAR CLUSTER|
|NGC 6625         |18 22 47|-11 57.3|      0.015|         0.100|         0.165|        |             |    1335|  8.700|             |            |                                  OPEN STAR CLUSTER|
|MWSC 4688        |23 51 54|-86 43.2|      0.020|         0.100|         0.185|        |             |    1336|  9.390|             |            |                                  OPEN STAR CLUSTER|
|NGC 2250         |06 33 41|-05 04.8|      0.018|         0.085|         0.165|        |             |    1338|  8.495|             |dub         |                                  OPEN STAR CLUSTER|
|ESO 502-19       |11 08 07|-26 43.0|      0.020|         0.110|         0.180|        |             |    1338|  9.210|             |rem         |                                  OPEN STAR CLUSTER|
|Lynga 8          |16 20 04|-50 13.0|      0.010|         0.037|         0.075|        |             |    1338|  9.290|        0.003|rem         |                                  OPEN STAR CLUSTER|
|FSR 0085         |19 47 13|-11 51.3|      0.015|         0.070|         0.115|        |             |    1338|  9.375|             |            |                                  OPEN STAR CLUSTER|
|NGC 2571         |08 18 57|-29 44.1|      0.015|         0.120|         0.190|   27.00|         0.25|    1339|  7.350|             |            |                                  OPEN STAR CLUSTER|
|Loden 757        |13 12 00|-65 18.0|      0.020|         0.110|         0.160|        |             |    1340|  8.070|        0.078|non         |                                  OPEN STAR CLUSTER|
|Bochum 13        |17 17 19|-35 33.0|      0.020|         0.085|         0.155|   -2.50|         1.50|    1340|  7.250|             |            |                                  OPEN STAR CLUSTER|
|NGC 2413         |07 33 04|-12 59.4|      0.015|         0.080|         0.185|        |             |    1341|  8.655|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 67      |08 41 46|-43 23.7|      0.018|         0.080|         0.170|  -15.40|         0.80|    1342|  8.600|             |            |                                  OPEN STAR CLUSTER|
|Trumpler 34      |18 39 48|-08 24.9|      0.018|         0.085|         0.180|        |             |    1342|  8.585|             |            |                                  OPEN STAR CLUSTER|
|NGC 2482         |07 55 10|-24 16.5|      0.010|         0.110|         0.210|   38.17|         0.30|    1344|  8.505|        0.086|            |                                  OPEN STAR CLUSTER|
|Loden 1378       |14 30 07|-58 12.9|      0.025|         0.095|         0.150|        |             |    1346|  8.840|        0.059|            |                                  OPEN STAR CLUSTER|
|Dutra-Bica 51    |17 49 28|-31 15.0|      0.015|         0.035|         0.055|        |             |    1346|  6.000|             |            |                                  OPEN STAR CLUSTER|
|Loden 1282       |14 15 50|-59 07.2|      0.012|         0.090|         0.135|        |             |    1349|  8.150|        0.001|            |                                  OPEN STAR CLUSTER|
|Berkeley 43      |19 15 31|+11 15.9|      0.025|         0.105|         0.180|        |             |    1355|  8.785|             |            |                                  OPEN STAR CLUSTER|
|MWSC 4301        |16 59 20|+18 21.6|      0.030|         0.190|         0.295|        |             |    1355|  9.415|             |            |                                  OPEN STAR CLUSTER|
|DBSB 40          |10 01 19|-57 42.3|      0.010|         0.040|         0.060|  -15.53|             |    1358|  7.985|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 0817         |05 39 27|+30 54.2|      0.010|         0.050|         0.115|        |             |    1359|  9.050|             |irc         |                                  OPEN STAR CLUSTER|
|NGC 3496         |10 59 37|-60 20.4|      0.030|         0.100|         0.180|   -6.28|         3.82|    1359|  8.895|        0.023|            |                                  OPEN STAR CLUSTER|
|FSR 0110         |19 25 47|+02 00.3|      0.015|         0.080|         0.125|        |             |    1361|  9.225|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5340        |17 10 28|+06 25.5|      0.020|         0.100|         0.170|        |             |    1361|  9.465|        0.078|            |                                  OPEN STAR CLUSTER|
|NGC 2479         |07 55 08|-17 43.8|      0.020|         0.105|         0.240|        |             |    1363|  9.015|        0.016|            |                                  OPEN STAR CLUSTER|
|Pismis 8         |08 41 39|-46 16.0|      0.015|         0.060|         0.115|        |             |    1363|  7.430|             |            |                                  OPEN STAR CLUSTER|
|NGC 6530         |18 04 30|-24 21.6|      0.025|         0.100|         0.200|   -6.49|         8.67|    1365|  6.670|             |            |                                             NEBULA|
|MWSC 5051        |09 45 52|-07 00.3|      0.012|         0.110|         0.195|        |             |    1365|  9.450|             |            |                                  OPEN STAR CLUSTER|
|DBSB 88          |14 19 37|-65 25.9|      0.016|         0.050|         0.085|        |             |    1366|  7.850|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 1434         |08 45 29|-45 24.1|      0.012|         0.085|         0.170|        |             |    1367|  9.035|        0.028|            |                                  OPEN STAR CLUSTER|
|Lynga 4          |15 33 20|-55 14.4|      0.035|         0.100|         0.195|        |             |    1369|  8.550|             |            |                                  OPEN STAR CLUSTER|
|ESO 436-02       |10 13 57|-29 10.1|      0.010|         0.090|         0.155|        |             |    1370|  9.100|             |            |                                  OPEN STAR CLUSTER|
|Dol-Dzim 2       |05 23 53|+11 29.4|      0.012|         0.085|         0.160|        |             |    1371|  9.025|        0.071|            |                                  OPEN STAR CLUSTER|
|NGC 2362         |07 18 43|-24 57.6|      0.030|         0.120|         0.260|   29.50|         7.53|    1375|  6.640|             |            |                                  OPEN STAR CLUSTER|
|NGC 2437         |07 41 49|-14 48.3|      0.040|         0.350|         0.570|   30.43|         4.50|    1375|  8.350|             |            |                                  OPEN STAR CLUSTER|
|Collinder 223    |10 30 34|-59 51.3|      0.015|         0.070|         0.115|    8.46|         3.59|    1376|  8.200|             |            |                                  OPEN STAR CLUSTER|
|FSR 1450         |08 58 25|-46 18.2|      0.018|         0.060|         0.115|        |             |    1379|  8.400|             |            |                                  OPEN STAR CLUSTER|
|ESO 245-09       |01 53 43|-45 55.2|      0.025|         0.230|         0.370|        |             |    1380|  9.055|        0.071|rem         |                                  OPEN STAR CLUSTER|
|Skiff J0619+18.5 |06 19 22|+18 30.6|      0.020|         0.060|         0.140|        |             |    1380|  7.900|             |            |                                  OPEN STAR CLUSTER|
|Basel 20         |09 30 59|-56 25.8|      0.018|         0.080|         0.140|        |             |    1380|  7.500|             |            |                                  OPEN STAR CLUSTER|
|FSR 1500         |09 37 54|-53 57.2|      0.010|         0.037|         0.067|        |             |    1380|  8.580|             |irc         |                                  OPEN STAR CLUSTER|
|Lynga 15         |11 42 14|-62 30.6|      0.020|         0.080|         0.125|   -8.20|         1.80|    1380|  7.400|             |            |                                  OPEN STAR CLUSTER|
|ESO 008-06       |14 56 55|-83 26.7|      0.025|         0.130|         0.185|        |             |    1380|  9.300|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5117        |11 40 19|-17 50.1|      0.020|         0.120|         0.190|        |             |    1380|  9.360|             |            |                                  OPEN STAR CLUSTER|
|Dolidze 32       |18 41 13|-04 02.1|      0.010|         0.090|         0.170|   14.00|             |    1381|  6.000|             |            |                                  OPEN STAR CLUSTER|
|MWSC 4312        |17 06 31|-19 26.7|      0.030|         0.140|         0.220|        |             |    1384|  8.200|             |            |                                  OPEN STAR CLUSTER|
|FSR 1682         |14 29 11|-58 42.6|      0.015|         0.105|         0.180|        |             |    1388|  9.160|        0.035|            |                                  OPEN STAR CLUSTER|
|FSR 0090         |18 50 18|-03 34.6|      0.010|         0.050|         0.085|        |             |    1388|  8.695|             |irc         |                                  OPEN STAR CLUSTER|
|MWSC 5748        |20 28 58|+00 24.0|      0.015|         0.080|         0.150|        |             |    1388|  8.725|        0.120|            |                                  OPEN STAR CLUSTER|
|FSR 1574         |11 44 42|-45 39.6|      0.020|         0.095|         0.180|        |             |    1389|  9.250|             |            |                                  OPEN STAR CLUSTER|
|Loden 2326       |15 43 39|-52 28.2|      0.020|         0.070|         0.110|        |             |    1390|  8.830|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5316        |16 15 14|-22 22.2|      0.015|         0.110|         0.210|        |             |    1390|  8.870|             |            |                                  OPEN STAR CLUSTER|
|Turner 3         |18 17 17|-19 07.2|      0.010|         0.060|         0.115|  -15.70|             |    1392|  7.460|             |            |                                  OPEN STAR CLUSTER|
|Dolidze 53       |19 46 18|+24 37.9|      0.015|         0.085|         0.125|    2.80|         1.28|    1392|  7.335|             |ass         |                                  OPEN STAR CLUSTER|
|NGC 2220         |06 20 53|-44 42.0|      0.010|         0.070|         0.125|        |             |    1393|  8.560|        0.055|non         |                                  OPEN STAR CLUSTER|
|Collinder 196    |08 45 02|-31 37.5|      0.020|         0.090|         0.180|        |             |    1393|  9.260|             |non         |                                  OPEN STAR CLUSTER|
|NGC 6231         |16 54 14|-41 49.8|      0.040|         0.230|         0.400|  -28.49|         2.50|    1393|  7.050|             |            |                          OB ASSOCIATION/HII REGION|
|NGC 2374         |07 24 00|-13 16.2|      0.015|         0.150|         0.220|   27.20|         0.10|    1394|  8.750|             |            |                                  OPEN STAR CLUSTER|
|Muzzio 1         |08 57 58|-47 41.7|      0.010|         0.100|         0.180|  -13.00|             |    1394|  6.500|             |            |                                  OPEN STAR CLUSTER|
|FSR 1757         |18 17 02|-45 15.0|      0.010|         0.055|         0.100|        |             |    1397|  8.660|             |            |                                  OPEN STAR CLUSTER|
|MWSC 4483        |19 17 08|-68 31.5|      0.015|         0.150|         0.235|        |             |    1397|  9.310|        0.103|            |                                  OPEN STAR CLUSTER|
|Collinder 21     |01 50 10|+27 06.9|      0.050|         0.160|         0.360|        |             |    1400|  9.393|        0.099|ast         |                                  OPEN STAR CLUSTER|
|NGC 2099         |05 52 21|+32 34.2|      0.060|         0.190|         0.485|    7.70|         0.02|    1400|  8.550|             |            |                                  OPEN STAR CLUSTER|
|ESO 493-03       |07 39 41|-27 17.7|      0.018|         0.065|         0.135|        |             |    1400|  8.385|             |            |                                  OPEN STAR CLUSTER|
|FSR 1754         |17 14 58|-39 05.1|      0.020|         0.080|         0.130|        |             |    1400|  7.150|             |            |                                  OPEN STAR CLUSTER|
|BDSB 96          |07 05 19|-12 19.5|      0.010|         0.075|         0.150|        |             |    1401|  7.160|             |emb         |                                             NEBULA|
|ESO 313-12       |08 43 51|-40 13.5|      0.015|         0.060|         0.120|        |             |    1401|  8.500|             |            |                                  OPEN STAR CLUSTER|
|MWSC 4572        |20 30 59|-15 10.5|      0.025|         0.125|         0.190|        |             |    1402|  9.340|        0.032|            |                                  OPEN STAR CLUSTER|
|NGC 5155         |13 29 53|-63 27.3|      0.015|         0.105|         0.165|  -37.10|             |    1404|  7.400|             |ast         |                                  OPEN STAR CLUSTER|
|Ruprecht 137     |17 59 55|-25 12.9|      0.020|         0.108|         0.160|        |             |    1405|  8.795|        0.045|            |                                  OPEN STAR CLUSTER|
|NGC 2428         |07 39 20|-16 31.1|      0.015|         0.075|         0.125|   47.31|         6.23|    1406|  8.615|        0.039|            |                                  OPEN STAR CLUSTER|
|MWSC 4463        |18 58 55|-64 15.9|      0.025|         0.130|         0.210|        |             |    1406|  9.150|             |            |                                  OPEN STAR CLUSTER|
|FSR 1260         |07 28 26|-19 40.8|      0.018|         0.065|         0.140|        |             |    1409|  8.300|             |            |                                  OPEN STAR CLUSTER|
|FSR 1220         |07 43 43|-11 01.8|      0.015|         0.100|         0.170|        |             |    1410|  8.570|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5311        |16 11 37|-23 12.9|      0.020|         0.085|         0.155|        |             |    1410|  9.050|             |            |                                  OPEN STAR CLUSTER|
|NGC 2335         |07 06 50|-10 01.8|      0.020|         0.145|         0.310|    8.70|         0.70|    1411|  8.200|             |            |                                  OPEN STAR CLUSTER|
|Hogg 6           |10 06 36|-60 30.0|      0.010|         0.060|         0.110|        |             |    1412|  8.505|        0.024|            |                                  OPEN STAR CLUSTER|
|Feinstein 1      |11 06 43|-59 49.2|      0.015|         0.100|         0.200|  -13.43|         8.91|    1414|  7.200|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5293        |15 30 17|-30 26.4|      0.030|         0.105|         0.165|        |             |    1414|  9.220|        0.103|            |                                  OPEN STAR CLUSTER|
|NGC 2270         |06 43 59|+03 28.2|      0.030|         0.090|         0.200|   40.00|         3.70|    1415|  8.915|        0.036|            |                                  OPEN STAR CLUSTER|
|Loden 172        |10 27 50|-60 42.0|      0.020|         0.125|         0.180|        |             |    1415|  8.000|             |non         |                                  OPEN STAR CLUSTER|
|Pismis 3         |08 31 16|-38 39.5|      0.020|         0.105|         0.205|        |             |    1418|  8.925|        0.030|            |                                  OPEN STAR CLUSTER|
|MWSC 4146        |11 00 45|-40 29.4|      0.022|         0.100|         0.160|        |             |    1419|  9.100|             |            |                                  OPEN STAR CLUSTER|
|Trumpler 18      |11 11 35|-60 39.9|      0.022|         0.085|         0.160|  -17.40|         7.00|    1422|  7.690|             |            |                                  OPEN STAR CLUSTER|
|ESO 332-22       |17 07 25|-40 49.0|      0.025|         0.115|         0.180|        |             |    1422|  7.995|        0.174|dub         |                                  OPEN STAR CLUSTER|
|Dolidze 34       |18 41 54|-04 16.0|      0.014|         0.046|         0.075|    7.00|             |    1422|  7.950|             |dub         |                                  OPEN STAR CLUSTER|
|Loden 624        |12 26 19|-61 48.0|      0.030|         0.200|         0.320|    8.00|             |    1423|  7.600|             |            |                                  OPEN STAR CLUSTER|
|Loden 894        |13 39 41|-64 19.2|      0.015|         0.070|         0.120|        |             |    1423|  9.040|             |            |                                  OPEN STAR CLUSTER|
|FSR 1715         |15 48 40|-50 12.9|      0.015|         0.050|         0.075|        |             |    1423|  8.485|             |irc         |                                  OPEN STAR CLUSTER|
|Dolidze 51       |18 10 24|-17 44.5|      0.017|         0.065|         0.105|        |             |    1423|  8.200|             |ast         |                                  OPEN STAR CLUSTER|
|MWSC 4500        |19 33 22|-33 14.1|      0.018|         0.085|         0.150|        |             |    1423|  9.200|             |            |                                  OPEN STAR CLUSTER|
|FSR 0904         |06 07 03|+19 01.3|      0.010|         0.045|         0.095|        |             |    1427|  7.800|             |            |                                  OPEN STAR CLUSTER|
|FSR 1085         |06 53 14|-00 11.4|      0.020|         0.045|         0.100|        |             |    1429|  8.735|        0.073|irc         |                                  OPEN STAR CLUSTER|
|Basel 8          |06 34 12|+08 00.6|      0.015|         0.090|         0.170|   11.00|         7.40|    1432|  7.925|        0.099|            |                                  OPEN STAR CLUSTER|
|MWSC 5684        |12 53 43|-86 38.9|      0.020|         0.080|         0.155|        |             |    1432|  9.180|        0.023|            |                                  OPEN STAR CLUSTER|
|Loden 2115       |15 07 43|-54 31.3|      0.020|         0.110|         0.190|        |             |    1434|  8.960|        0.024|            |                                  OPEN STAR CLUSTER|
|MWSC 4330        |17 17 02|-15 04.8|      0.023|         0.120|         0.175|        |             |    1434|  8.550|             |            |                                  OPEN STAR CLUSTER|
|Trumpler 12      |10 06 32|-60 18.0|      0.018|         0.085|         0.160|        |             |    1435|  9.205|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 127     |17 37 52|-36 18.2|      0.012|         0.060|         0.090|  -28.95|         0.05|    1435|  7.550|             |            |                                  OPEN STAR CLUSTER|
|SAI 82           |07 52 13|-33 02.4|      0.020|         0.060|         0.110|        |             |    1436|  8.650|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5604        |03 09 49|-42 52.8|      0.017|         0.100|         0.200|        |             |    1437|  9.200|             |            |                                  OPEN STAR CLUSTER|
|Harvard 10       |16 18 56|-54 55.2|      0.055|         0.195|         0.380|  -18.17|         1.94|    1441|  7.970|             |            |                          OB ASSOCIATION/HII REGION|
|NGC 6683         |18 42 13|-06 12.0|      0.010|         0.050|         0.110|        |             |    1441|  6.750|             |            |                                  OPEN STAR CLUSTER|
|FSR 0923         |06 10 34|+16 58.2|      0.025|         0.093|         0.170|        |             |    1444|  8.725|             |irc         |                                  OPEN STAR CLUSTER|
|NGC 2186         |06 12 09|+05 27.8|      0.015|         0.070|         0.130|   20.15|         0.19|    1445|  8.200|             |            |                                  OPEN STAR CLUSTER|
|FSR 1507         |09 33 56|-56 14.9|      0.012|         0.055|         0.105|        |             |    1445|  8.800|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5060        |10 10 28|-14 02.7|      0.030|         0.100|         0.190|        |             |    1445|  9.700|             |            |                                  OPEN STAR CLUSTER|
|Collinder 107    |06 38 30|+04 38.1|      0.020|         0.110|         0.180|   21.55|         5.77|    1447|  7.165|        0.016|            |                                  OPEN STAR CLUSTER|
|Loiano 1         |19 58 17|+32 33.0|      0.010|         0.050|         0.080|        |             |    1447|  8.900|             |            |                                  OPEN STAR CLUSTER|
|DBSB 103         |16 40 03|-48 46.6|      0.010|         0.045|         0.065|  -35.00|             |    1449|  7.200|             |irc         |                                             NEBULA|
|NGC 2477         |07 52 08|-38 31.8|      0.050|         0.310|         0.450|    7.32|         0.13|    1450|  8.915|        0.007|            |                                  OPEN STAR CLUSTER|
|Archinal 1       |18 54 50|+05 32.4|      0.012|         0.060|         0.100|        |             |    1453|  8.000|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 107     |13 19 46|-64 57.0|      0.018|         0.050|         0.075|  -45.40|         0.22|    1454|  8.235|             |            |                                  OPEN STAR CLUSTER|
|Kronberger 13    |19 25 16|+13 56.9|      0.015|         0.065|         0.115|        |             |    1455|  8.525|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 26      |07 37 10|-15 39.6|      0.020|         0.115|         0.210|   17.79|         3.50|    1456|  7.800|             |            |                                  OPEN STAR CLUSTER|
|FSR 1631         |12 45 43|-81 15.5|      0.025|         0.110|         0.180|        |             |    1456|  9.500|             |            |                                  OPEN STAR CLUSTER|
|Collinder 205    |09 00 32|-48 59.4|      0.010|         0.070|         0.140|   20.00|         5.58|    1458|  7.030|             |            |                                  OPEN STAR CLUSTER|
|FSR 1680         |14 28 34|-60 01.2|      0.010|         0.070|         0.115|        |             |    1458|  8.590|        0.126|            |                                  OPEN STAR CLUSTER|
|Dolidze 29       |18 31 24|-06 38.0|      0.018|         0.130|         0.230|        |             |    1460|  7.500|             |ast         |                                  OPEN STAR CLUSTER|
|Teutsch 79       |13 23 39|-63 38.3|      0.015|         0.060|         0.100|        |             |    1461|  8.780|             |            |                                  OPEN STAR CLUSTER|
|Berkeley 47      |19 28 28|+17 21.6|      0.020|         0.075|         0.147|        |             |    1462|  7.970|        0.007|            |                                  OPEN STAR CLUSTER|
|Collinder 213    |09 54 43|-50 55.5|      0.020|         0.100|         0.160|        |             |    1464|  8.870|        0.052|            |                                  OPEN STAR CLUSTER|
|Collinder 220    |10 25 52|-57 54.9|      0.020|         0.095|         0.140|  -13.00|         0.20|    1465|  8.570|             |            |                                  OPEN STAR CLUSTER|
|Collinder 91     |06 21 50|+02 22.4|      0.020|         0.130|         0.255|  -11.84|             |    1467|  8.640|        0.036|            |                                  OPEN STAR CLUSTER|
