|              Name | RAh | RAm |  RAs | DE- | DEd | DEm | DEs | TT |  SFRa |  KLum |    DM |   Dist |  n_clust |                                  reference |  
|            DDO052 |   8 |  28 | 28.5 |   + |  41 |  51 |  24 | 10 | -2.39 |  8.39 | 30.06 |  10.28 |          |                                            |
|            DDO053 |   8 |  34 |  6.5 |   + |  66 |  10 |  45 | 10 | -2.16 |  7.31 | 27.76 |  3.565 |          |                                            |
|          UGC04483 |   8 |  37 |  3.0 |   + |  69 |  46 |  31 | 10 | -2.47 |   7.0 | 27.53 |  3.206 |          |                                            |
|        ESO496-010 |   8 |  49 |  6.0 |   - |  26 |  19 |  12 |  9 |   0.0 |  8.35 | 29.46 |  7.798 |          |                                            |
|         AGC182595 |   8 |  51 | 12.1 |   + |  27 |  52 |  48 |  9 |   0.0 |  7.02 | 28.93 |  6.109 |          |                                            |
|            UMa II |   8 |  51 | 30.0 |   + |  63 |   7 |  48 | -2 |   0.0 |  4.18 |  17.5 |  0.032 |          |                                            |
|           NGC2683 |   8 |  52 | 40.9 |   + |  33 |  25 |   2 |  3 | -0.31 |  10.6 | 29.44 |  7.727 |          |                                            |
|              KK69 |   8 |  52 | 50.7 |   + |  33 |  47 |  52 | 10 | -3.72 |  7.12 | 29.43 |  7.691 |          |                                            |
|              KK70 |   8 |  55 | 22.0 |   + |  33 |  33 |  33 | -3 | -4.49 |   7.7 | 29.43 |  7.691 |          |                                            |
|          UGC04704 |   8 |  59 |  0.3 |   + |  39 |  12 |  36 |  8 | -1.42 |  8.93 | 30.91 | 15.205 |          |                                            |
|      LSBC D564-08 |   9 |   2 | 54.0 |   + |  20 |   4 |  31 | 10 | -4.42 |  7.02 | 29.69 |   8.67 |          |                                            |
|        ESO497-004 |   9 |   3 |  3.1 |   - |  23 |  48 |  30 |  8 | -1.99 |  8.79 | 31.39 | 18.967 |          |                                            |
|          UGC04787 |   9 |   7 | 34.9 |   + |  33 |  16 |  36 |  8 | -1.15 |  9.26 | 31.54 | 20.324 |          |                                            |
|      LSBC D634-03 |   9 |   8 | 53.5 |   + |  14 |  34 |  55 | 10 | -4.43 |  7.28 |  29.9 |   9.55 |          |                                            |
|              KK71 |   9 |   9 | 10.9 |   - |  23 |  22 |   4 | -3 |   0.0 |  8.16 | 29.96 |  9.817 |          |                                            |
|            DDO056 |   9 |   9 | 46.6 |   - |  23 |   0 |  33 | 10 | -2.12 |  8.28 | 29.96 |  9.817 |          |                                            |
|              KK72 |   9 |  11 | 42.3 |   - |  23 |  58 |  56 | -3 |   0.0 |  8.05 | 29.96 |  9.817 |          |                                            |
|      NGC2784 dw01 |   9 |  12 | 18.5 |   - |  24 |  12 |  40 | -3 |   0.0 |  8.38 | 29.96 |  9.817 |          |                                            |
|           NGC2784 |   9 |  12 | 19.4 |   - |  24 |  10 |  18 | -2 | -1.06 |  10.8 | 29.96 |  9.817 |          |                                            |
|              KK73 |   9 |  12 | 29.3 |   - |  24 |  14 |  28 | -3 |   0.0 |  9.08 | 29.96 |  9.817 |          |                                            |
|           UGCA153 |   9 |  13 | 12.1 |   - |  19 |  24 |  31 |  8 | -1.42 |  9.07 |  31.7 | 21.878 |          |                                            |
|         AGC198507 |   9 |  15 | 25.8 |   + |  25 |  25 |  10 |  9 |   0.0 |  7.54 | 31.68 | 21.677 |          |                                            |
|          UGC04879 |   9 |  16 |  2.2 |   + |  52 |  50 |  24 |  9 | -4.44 |  6.98 | 25.67 |  1.361 |          |                                            |
|  HIPASS J0916-23b |   9 |  16 | 58.0 |   - |  23 |  16 |  47 | 10 | -2.66 |  8.13 | 30.06 |  10.28 |          |                                            |
|           NGC2835 |   9 |  17 | 52.9 |   - |  22 |  21 |  19 |  5 |  0.22 | 10.19 | 30.06 |  10.28 |          |                                            |
|           NGC2787 |   9 |  19 | 18.6 |   + |  69 |  12 |  12 |  1 | -2.21 | 10.19 | 29.37 |  7.482 |          |                                            |
|      LSBC D565-06 |   9 |  19 | 29.4 |   + |  21 |  36 |  12 | 10 | -4.77 |  7.32 | 29.79 |  9.078 |          |                                            |
|          UGC04932 |   9 |  19 | 34.1 |   + |  51 |   6 |  33 |  8 |   0.0 |  8.69 | 31.57 | 20.606 |          |                                            |
|            DDO062 |   9 |  21 | 27.5 |   - |  22 |  30 |   2 |  8 | -1.14 |  9.18 | 31.35 | 18.621 |          |                                            |
|         AGC198508 |   9 |  22 | 57.0 |   + |  24 |  56 |  48 | 10 |   0.0 |  7.23 | 30.09 | 10.423 |          |                                            |
|          UGC04998 |   9 |  25 | 12.1 |   + |  68 |  22 |  59 |  9 |  -2.4 |  8.71 | 29.58 |  8.241 |          |                                            |
|     LV J0926+3343 |   9 |  26 |  9.4 |   + |  33 |  43 |   4 |  8 |   0.0 |  7.85 | 31.47 | 19.679 |          |                                            |
|           NGC2915 |   9 |  26 | 11.5 |   - |  76 |  37 |  35 |  9 | -1.42 |  8.63 | 27.89 |  3.784 |          |                                            |
| [CKT2009]d0926+70 |   9 |  26 | 27.9 |   + |  70 |  30 |  24 | 10 |   0.0 |  6.24 | 27.97 |  3.926 |          |                                            |
|            KDG056 |   9 |  30 | 12.9 |   + |  19 |  59 |  30 | 10 | -4.42 |  7.42 | 29.75 |  8.913 |          |                                            |
|      NGC2903-HI-1 |   9 |  30 | 39.9 |   + |  21 |  43 |  25 | 10 |   0.0 |  6.92 | 29.75 |  8.913 |          |                                            |
|           NGC2903 |   9 |  32 |  9.6 |   + |  21 |  30 |   2 |  4 |  0.28 | 10.82 | 29.74 |  8.872 |          |                                            |
|        ESO373-007 |   9 |  32 | 45.4 |   - |  33 |  14 |  44 | 10 |   0.0 |  7.76 |  29.6 |  8.318 |          |                                            |
|          UGC05086 |   9 |  32 | 48.9 |   + |  21 |  27 |  54 | -3 | -4.59 |  8.36 | 29.75 |  8.913 |          |                                            |
| [CKT2009]d0934+70 |   9 |  34 |  3.7 |   + |  70 |  12 |  57 | -3 |   0.0 |   6.8 | 27.82 |  3.664 |          |                                            |
|      CGCG 035-007 |   9 |  34 | 44.9 |   + |   6 |  25 |  32 |  9 | -1.98 |  8.48 | 30.57 | 13.002 |          |                                            |
|              LeoT |   9 |  34 | 53.4 |   + |  17 |   3 |   5 | 10 | -5.92 |  4.94 |  23.1 |  0.417 |          |                                            |
| [CKT2009]d0939+71 |   9 |  39 | 15.9 |   + |  71 |  18 |  42 | 10 |   0.0 |   5.6 |  27.8 |  3.631 |          |                                            |
|          KISSB023 |   9 |  40 | 12.7 |   + |  29 |  35 |  29 | 10 |   0.0 |  8.35 | 31.48 |  19.77 |          |                                            |
|            KDG058 |   9 |  40 | 27.0 |   + |   0 |   2 |  33 | 10 |   0.0 |  7.47 |  30.0 |   10.0 |          |                                            |
|             HolmI |   9 |  40 | 32.3 |   + |  71 |  11 |  11 | 10 | -2.25 |  8.01 | 27.92 |  3.837 |          |                                            |
|          UGC05186 |   9 |  42 | 59.8 |   + |  33 |  15 |  52 | 10 | -4.01 |  7.61 |  29.6 |  8.318 |          |                                            |
| [CKT2009]d0944+69 |   9 |  44 | 22.5 |   + |  69 |  12 |  40 | -3 |   0.0 |  5.92 |  28.0 |  3.981 |          |                                            |
| [CKT2009]d0944+71 |   9 |  44 | 34.4 |   + |  71 |  28 |  57 | -1 |   0.0 |  7.39 | 27.65 |  3.388 |          |                                            |
|            IC0559 |   9 |  44 | 43.9 |   + |   9 |  36 |  55 |  9 | -2.12 |  8.25 | 29.87 |  9.419 |          |                                            |
|              F8D1 |   9 |  44 | 50.0 |   + |  67 |  28 |  32 | -3 |  -4.4 |  7.99 | 27.88 |  3.767 |          |                                            |
|               FM1 |   9 |  45 | 10.0 |   + |  68 |  45 |  54 | -3 | -5.04 |  7.14 | 27.66 |  3.404 |          |                                            |
|           NGC2976 |   9 |  47 | 15.6 |   + |  67 |  54 |  49 |  7 | -1.08 |  9.42 | 27.76 |  3.565 |          |                                            |
|         AGC191803 |   9 |  48 |  5.9 |   + |   7 |   7 |  45 |  9 |   0.0 |  8.04 | 30.87 | 14.928 |          |                                            |
|              KK77 |   9 |  50 | 10.0 |   + |  67 |  30 |  24 | -3 | -5.02 |  7.76 | 27.71 |  3.483 |          |                                            |
|              KK78 |   9 |  50 | 19.6 |   + |  31 |  27 |  24 | 10 | -3.14 |  6.92 | 29.26 |  7.112 |          |                                            |
|            DDO064 |   9 |  50 | 22.4 |   + |  31 |  29 |  15 | 10 | -1.67 |  8.04 | 29.26 |  7.112 |          |                                            |
|          UGC05288 |   9 |  51 | 17.2 |   + |   7 |  49 |  38 |  9 | -1.78 |  8.39 | 29.18 |  6.855 |          |                                            |
|              BK3N |   9 |  53 | 48.5 |   + |  68 |  58 |   9 | 10 | -5.26 |  6.09 | 28.02 |  4.018 |          |                                            |
|     LV J0954+3620 |   9 |  54 | 50.6 |   + |  36 |  20 |   2 | 10 |   0.0 |  7.47 | 30.94 | 15.417 |          |                                            |
|            KKSG15 |   9 |  55 | 10.5 |   - |   6 |  16 |  12 | 10 | -2.77 |  8.24 | 29.93 |  9.683 |          |                                            |
| [CKT2009]d0955+70 |   9 |  55 | 13.6 |   + |  70 |  24 |  29 | -3 |   0.0 |   6.6 | 27.97 |  3.926 |          |                                            |
|        MESSIER081 |   9 |  55 | 33.5 |   + |  69 |   4 |   0 |  3 | -0.01 | 10.93 |  27.8 |  3.631 |          |                                            |
|        MESSIER082 |   9 |  55 | 53.9 |   + |  69 |  40 |  57 |  8 |  0.19 | 10.57 | 27.74 |  3.532 |          |                                            |
|            DDO068 |   9 |  56 | 45.7 |   + |  28 |  49 |  30 | 10 | -1.74 |  8.17 | 29.96 |  9.817 |          |                                            |
|            KDG061 |   9 |  57 |  2.7 |   + |  68 |  35 |  30 | -1 |  -3.2 |  8.09 | 27.78 |  3.597 |          |                                            |
|            ClumpI |   9 |  57 | 21.2 |   + |  68 |  42 |  55 | 10 | -4.88 |  5.57 | 27.78 |  3.597 |          |                                            |
|          A0952+69 |   9 |  57 | 29.0 |   + |  69 |  16 |  20 | 10 | -3.22 |  6.86 | 27.94 |  3.873 |          |                                            |
|            HolmIX |   9 |  57 | 32.4 |   + |  69 |   2 |  35 | 10 |  -2.9 |   7.7 | 27.79 |  3.614 |          |                                            |
| [CKT2009]d0958+66 |   9 |  58 | 48.5 |   + |  66 |  50 |  59 |  9 |   0.0 |  7.17 | 28.03 |  4.036 |          |                                            |
|              LeoA |   9 |  59 | 26.4 |   + |  30 |  44 |  47 | 10 | -4.03 |  6.93 | 24.53 |  0.805 |          |                                            |
| [CKT2009]d0959+68 |   9 |  59 | 33.1 |   + |  68 |  39 |  25 | 10 | -3.83 |  6.29 | 27.78 |  3.597 |          |                                            |
|            KKSG16 |   9 |  59 | 47.5 |   - |   9 |  20 |  36 | -3 |   0.0 |  7.85 | 29.93 |  9.683 |          |                                            |
|              SexB |  10 |   0 |  0.1 |   + |   5 |  19 |  56 | 10 | -2.93 |  7.78 | 25.66 |  1.355 |          |                                            |
|             KKH57 |  10 |   0 | 16.0 |   + |  63 |  11 |   6 | -3 | -4.97 |  7.02 | 27.96 |  3.908 |          |                                            |
|     LV J1000+3032 |  10 |   0 | 36.5 |   + |  30 |  32 |  10 | 10 |   0.0 |  6.76 | 29.26 |  7.112 |          |                                            |
|          ClumpIII |  10 |   0 | 40.4 |   + |  68 |  39 |  37 | 10 | -4.18 |  5.57 | 27.78 |  3.597 |          |                                            |
|    MCG -01-26-009 |  10 |   1 | 33.6 |   - |   6 |  31 |  30 | 10 | -2.31 |  7.85 | 29.93 |  9.683 |          |                                            |
|            KKSG17 |  10 |   1 | 38.4 |   - |   8 |  14 |  56 | 10 | -3.11 |  8.17 | 29.93 |  9.683 |          |                                            |
|           UGCA193 |  10 |   2 | 36.2 |   - |   6 |   0 |  43 |  7 | -1.87 |   8.5 | 29.93 |  9.683 |          |                                            |
|           NGC3109 |  10 |   3 |  7.2 |   - |  26 |   9 |  36 |  8 | -1.77 |  8.57 | 25.61 |  1.324 |          |                                            |
|           NGC3077 |  10 |   3 | 21.0 |   + |  68 |  44 |   2 |  9 | -1.07 |  9.56 | 27.91 |  3.819 |          |                                            |
|           GARLAND |  10 |   3 | 42.0 |   + |  68 |  41 |  36 | 10 | -2.17 |  6.81 | 27.91 |  3.819 |          |                                            |
|        ESO499-038 |  10 |   3 | 50.2 |   - |  26 |  36 |  46 | 10 |   0.0 |  8.47 | 30.92 | 15.276 |          |                                            |
|           NGC3104 |  10 |   3 | 57.4 |   + |  40 |  45 |  25 |  8 | -0.77 |  9.23 | 31.02 | 15.996 |          |                                            |
|            Antlia |  10 |   4 |  4.0 |   - |  27 |  19 |  55 | 10 |   0.0 |  6.47 |  25.6 |  1.318 |          |                                            |
|              BK5N |  10 |   4 | 40.3 |   + |  68 |  15 |  20 | -3 | -5.11 |   7.2 | 27.89 |  3.784 |          |                                            |
|          UGC05427 |  10 |   4 | 41.0 |   + |  29 |  21 |  59 |  8 | -2.32 |  8.14 | 29.26 |  7.112 |          |                                            |
|            KDG063 |  10 |   5 |  7.3 |   + |  66 |  33 |  18 | -3 | -4.17 |   7.8 | 27.72 |  3.499 |          |                                            |
|           NGC3115 |  10 |   5 | 14.0 |   - |   7 |  43 |   7 | -1 |  -4.0 | 10.95 | 29.93 |  9.683 |          |                                            |
|          UGC05423 |  10 |   5 | 30.6 |   + |  70 |  21 |  52 | 10 | -1.86 |  8.41 |  29.7 |   8.71 |          |                                            |
|            KDG065 |  10 |   5 | 34.4 |   - |   7 |  44 |  57 | -3 |   0.0 |  8.39 | 29.93 |  9.683 |          |                                            |
|            KKSG18 |  10 |   5 | 41.6 |   - |   7 |  58 |  53 |  9 |   0.0 |  9.27 | 29.93 |  9.683 |          |                                            |
| [CKT2009]d1006+67 |  10 |   6 | 46.2 |   + |  67 |  12 |   4 | -3 |   0.0 |  6.37 | 27.94 |  3.873 |          |                                            |
|            KDG064 |  10 |   7 |  1.9 |   + |  67 |  49 |  39 | -3 | -4.45 |  7.98 | 27.84 |  3.698 |          |                                            |
|          UGC05456 |  10 |   7 | 19.7 |   + |  10 |  21 |  44 |  9 |  -1.8 |  8.16 | 28.74 |  5.598 |          |                                            |
|             KKH58 |  10 |   7 | 22.7 |   + |  38 |  58 |  11 |  8 | -1.11 |  8.67 | 31.32 | 18.365 |          |                                            |
|               IKN |  10 |   8 |  5.9 |   + |  68 |  23 |  57 | -3 | -4.91 |   7.6 | 27.87 |   3.75 |          |                                            |
| [CKT2009]d1009+70 |  10 |   9 | 34.9 |   + |  70 |  32 |  55 | -1 |   0.0 |   7.9 | 29.77 |  8.995 |          |                                            |
|              SexA |  10 |  11 |  0.8 |   - |   4 |  41 |  34 | 10 | -2.41 |  7.49 |  25.6 |  1.318 |          |                                            |
|          UGC05497 |  10 |  12 | 48.4 |   + |  64 |   6 |  27 |  9 |   0.0 |  7.18 | 27.84 |  3.698 |          |                                            |
|           SexDSph |  10 |  13 |  3.0 |   - |   1 |  36 |  52 | -3 |   0.0 |  6.42 | 19.77 |   0.09 |          |                                            |
| [CKT2009]d1014+68 |  10 |  14 | 55.8 |   + |  68 |  45 |  27 | -1 |   0.0 |  6.27 |  28.3 |  4.571 |          |                                            |
| [CKT2009]d1015+69 |  10 |  15 |  6.9 |   + |  69 |   2 |  15 | -1 |   0.0 |  6.06 | 28.05 |  4.074 |          |                                            |
|      KUG 1013+414 |  10 |  16 | 15.6 |   + |  41 |   9 |  59 |  8 |   0.0 |  8.32 | 30.23 | 11.117 |          |                                            |
|           NGC3184 |  10 |  18 | 17.0 |   + |  41 |  25 |  28 |  6 | -0.02 | 10.52 | 30.23 | 11.117 |          |                                            |
|     LV J1018+4109 |  10 |  18 | 22.2 |   + |  41 |   9 |  57 | -1 |   0.0 |  7.71 | 30.23 | 11.117 |          |                                            |
|             HS117 |  10 |  21 | 25.2 |   + |  71 |   6 |  58 | 10 | -4.82 |  6.72 | 27.99 |  3.963 |          |                                            |
|         AGC731448 |  10 |  23 | 45.0 |   + |  27 |   6 |  39 |  9 |   0.0 |  7.92 | 30.65 |  13.49 |          |                                            |
|           NGC3239 |  10 |  25 |  4.9 |   + |  17 |   9 |  49 |  8 | -0.47 |  9.52 | 29.49 |  7.907 |          |                                            |
|            DDO078 |  10 |  26 | 27.9 |   + |  67 |  39 |  24 | -3 | -5.01 |  7.54 | 27.85 |  3.715 |          |                                            |
|          UGC05672 |  10 |  28 | 20.9 |   + |  22 |  34 |  17 |  8 | -1.96 |  8.81 | 30.28 | 11.376 |          |                                            |
|            IC2574 |  10 |  28 | 22.4 |   + |  68 |  24 |  58 |  8 | -0.98 |  9.35 | 28.02 |  4.018 |          |                                            |
| [CKT2009]d1028+70 |  10 |  28 | 39.7 |   + |  70 |  14 |   1 | 10 |   0.0 |  7.04 | 28.01 |  3.999 |          |                                            |
|         AGC749315 |  10 |  29 |  6.4 |   + |  26 |  54 |  38 |  9 |   0.0 |  7.32 | 31.66 | 21.478 |          |                                            |
|            DDO082 |  10 |  30 | 35.0 |   + |  70 |  37 |  10 |  9 | -2.54 |  8.41 | 28.01 |  3.999 |          |                                            |
|     LV J1030+0607 |  10 |  30 | 44.3 |   + |   6 |   7 |  38 | 10 |   0.0 |  7.36 | 29.46 |  7.798 |          |                                            |
|         AGC205156 |  10 |  30 | 52.9 |   + |  12 |  26 |  48 |  9 |   0.0 |   6.9 | 30.09 | 10.423 |          |                                            |
|         AGC731457 |  10 |  31 | 55.8 |   + |  28 |   1 |  33 | 10 |   0.0 |  7.51 | 29.82 |  9.204 |          |                                            |
|           NGC3274 |  10 |  32 | 17.1 |   + |  27 |  40 |   7 |  7 | -1.06 |  8.83 | 29.51 |   7.98 |          |                                            |
|              BK6N |  10 |  34 | 31.9 |   + |  66 |   0 |  42 | -3 | -4.99 |  7.38 | 27.93 |  3.855 |          |                                            |
|             UMa I |  10 |  34 | 52.8 |   + |  51 |  55 |  12 | -3 |   0.0 |  4.87 |  20.0 |    0.1 |          |                                            |
|         AGC202248 |  10 |  34 | 56.1 |   + |  11 |  29 |  32 | 10 |   0.0 |  7.32 | 30.09 | 10.423 |          |                                            |
|        ESO501-023 |  10 |  35 | 23.2 |   - |  24 |  45 |  15 |  8 |   0.0 |  8.88 | 29.23 |  7.015 |          |                                            |
|           NGC3299 |  10 |  36 | 23.8 |   + |  12 |  42 |  27 |  8 | -1.42 |  8.96 | 30.09 | 10.423 |          |                                            |
|            DDO083 |  10 |  36 | 43.3 |   + |  31 |  32 |  48 | 10 | -1.86 |  8.03 | 30.19 | 10.914 |          |                                            |
|         AGC205165 |  10 |  37 |  4.8 |   + |  15 |  20 |  15 |  9 |   0.0 |  7.79 | 30.09 | 10.423 |          |                                            |
|         AGC208397 |  10 |  38 | 58.1 |   + |   3 |  52 |  27 | 10 |   0.0 |  7.28 | 32.09 | 26.182 |          |                                            |
|             LeG04 |  10 |  39 | 40.2 |   + |  12 |  44 |   6 | 10 |   0.0 |  6.85 | 30.09 | 10.423 |          |                                            |
|             LeG05 |  10 |  39 | 43.3 |   + |  12 |  38 |   4 | 10 |   0.0 |  7.62 | 30.09 | 10.423 |          |                                            |
|             LeG06 |  10 |  39 | 55.7 |   + |  13 |  54 |  28 | 10 |   0.0 |  7.03 | 30.09 | 10.423 |          |                                            |
|         AGC208399 |  10 |  40 | 10.7 |   + |   4 |  54 |  32 | 10 | -2.77 |  6.94 |  31.6 | 20.893 |          |                                            |
|          UGC05812 |  10 |  40 | 56.6 |   + |  12 |  28 |  19 |  8 |   0.0 |  8.23 | 30.09 | 10.423 |          |                                            |
| [CKT2009]d1041+70 |  10 |  41 | 16.8 |   + |  70 |   9 |   3 | 10 |   0.0 |  5.71 | 27.96 |  3.908 |          |                                            |
|              FS04 |  10 |  42 |  0.3 |   + |  12 |  20 |   6 |  8 |   0.0 |  8.15 | 30.09 | 10.423 |          |                                            |
|             LeG09 |  10 |  42 | 34.6 |   + |  12 |   9 |   2 | -2 |   0.0 |  7.63 | 30.09 | 10.423 |          |                                            |
|         AGC205268 |  10 |  42 | 52.4 |   + |  13 |  44 |  28 |  9 |   0.0 |  7.38 | 30.09 | 10.423 |          |                                            |
|             LeG10 |  10 |  43 | 55.4 |   + |  12 |   8 |   7 | 10 |   0.0 |  6.65 | 30.09 | 10.423 |          |                                            |
|           NGC3351 |  10 |  43 | 57.7 |   + |  11 |  42 |  13 |  3 | -0.17 | 10.66 | 30.01 | 10.046 |          |                                            |
|             LeG11 |  10 |  44 |  2.1 |   + |  15 |  35 |  20 | 10 |   0.0 |  6.82 | 30.09 | 10.423 |          |                                            |
|             LeG12 |  10 |  44 |  7.8 |   + |  11 |  31 |  59 | 10 |   0.0 |  6.94 | 30.09 | 10.423 |          |                                            |
|         AGC205445 |  10 |  44 | 35.3 |   + |  13 |  56 |  23 | -1 |   0.0 |  8.48 | 30.09 | 10.423 |          |                                            |
|             LeG13 |  10 |  44 | 57.6 |   + |  11 |  54 |  58 | 10 |  -3.6 |  7.35 | 30.09 | 10.423 |          |                                            |
|             LeG14 |  10 |  46 | 14.4 |   + |  12 |  57 |  36 | -3 |   0.0 |  7.55 | 30.09 | 10.423 |          |                                            |
|              KK93 |  10 |  46 | 24.8 |   + |  14 |   1 |  30 | -3 |   0.0 |  7.84 | 30.09 | 10.423 |          |                                            |
|             LeG16 |  10 |  46 | 30.0 |   + |  11 |  45 |  21 | -2 |   0.0 |  7.43 | 30.09 | 10.423 |          |                                            |
|           NGC3368 |  10 |  46 | 45.8 |   + |  11 |  49 |  11 |  3 | -0.36 | 10.83 | 30.09 | 10.423 |          |                                            |
|             LeG18 |  10 |  46 | 53.3 |   + |  12 |  44 |  40 | 10 |   0.0 |  6.77 | 30.09 | 10.423 |          |                                            |
|             LeG19 |  10 |  46 | 54.8 |   + |  12 |  47 |  17 | -1 |   0.0 |  7.91 | 30.09 | 10.423 |          |                                            |
|              KK94 |  10 |  46 | 57.3 |   + |  12 |  59 |  54 | 10 |   0.0 |  7.34 | 30.09 | 10.423 |          |                                            |
|             LeG21 |  10 |  47 |  0.8 |   + |  12 |  57 |  35 | 10 |   0.0 |   6.9 | 30.09 | 10.423 |          |                                            |
|            DDO088 |  10 |  47 | 22.3 |   + |  14 |   4 |  13 |  9 | -2.22 |  8.33 | 29.44 |  7.727 |          |                                            |
|        ESO318-013 |  10 |  47 | 41.9 |   - |  38 |  51 |  15 |  8 |   0.0 |  8.12 | 29.06 |  6.486 |          |                                            |
|           NGC3377 |  10 |  47 | 42.4 |   + |  13 |  59 |   8 | -2 |   0.0 | 10.42 | 30.19 | 10.914 |          |                                            |
|           NGC3379 |  10 |  47 | 49.6 |   + |  12 |  34 |  54 | -3 | -3.11 |  10.9 | 30.23 | 11.117 |          |                                            |
|          UGC05923 |  10 |  49 |  7.6 |   + |   6 |  55 |   2 |  7 | -1.17 |  9.44 | 31.74 | 22.284 |          |                                            |
|          Willman1 |  10 |  49 | 21.0 |   + |  51 |   3 |   0 | -2 |   0.0 |  3.72 |  17.9 |  0.038 |          |                                            |
|            DDO087 |  10 |  49 | 36.5 |   + |  65 |  31 |  50 | 10 | -2.48 |  8.31 | 29.36 |  7.447 |          |                                            |
|             LeG22 |  10 |  49 | 37.1 |   + |  11 |  21 |   6 | 10 |   0.0 |  7.14 | 30.09 | 10.423 |          |                                            |
|             LeG23 |  10 |  50 |  9.1 |   + |  13 |  29 |   1 | 10 |   0.0 |   6.7 | 30.09 | 10.423 |          |                                            |
|          UGC05944 |  10 |  50 | 19.1 |   + |  13 |  16 |  19 | -1 |   0.0 |   8.6 | 30.22 | 11.066 |          |                                            |
|              KK96 |  10 |  50 | 27.1 |   + |  12 |  21 |  39 | -3 |   0.0 |  7.71 | 30.09 | 10.423 |          |                                            |
|           NGC3412 |  10 |  50 | 53.3 |   + |  13 |  24 |  44 | -1 | -1.51 | 10.28 | 30.09 | 10.423 |          |                                            |
|           NGC3413 |  10 |  51 | 20.7 |   + |  32 |  45 |  59 |  8 |   0.0 |  9.34 |  30.4 | 12.023 |          |                                            |
|             LeG26 |  10 |  51 | 21.1 |   + |  12 |  50 |  57 | -2 |   0.0 |  8.27 | 30.09 | 10.423 |          |                                            |
|         AGC205540 |  10 |  51 | 31.4 |   + |  14 |   6 |  53 | 10 |   0.0 |  7.14 | 30.09 | 10.423 |          |                                            |
|             KKH65 |  10 |  51 | 59.1 |   + |  28 |  21 |  45 | -2 |   0.0 |  8.02 |  30.0 |   10.0 |          |                                            |
|         AGC205544 |  10 |  52 |  4.8 |   + |  15 |   1 |  50 | -1 |   0.0 |  8.18 | 30.09 | 10.423 |          |                                            |
|     LV J1052+3628 |  10 |  52 |  5.5 |   + |  36 |  28 |  36 | 10 |   0.0 |  7.04 | 29.82 |  9.204 |          |                                            |
|          UGC05983 |  10 |  52 | 17.5 |   + |  36 |  35 |  36 | 10 |   0.0 |   7.8 | 29.82 |  9.204 |          |                                            |
|         AGC202456 |  10 |  52 | 19.5 |   + |  11 |   2 |  36 | -1 |   0.0 |  8.55 | 30.09 | 10.423 |          |                                            |
|             LeG27 |  10 |  52 | 20.1 |   + |  14 |  42 |  26 | -2 |   0.0 |  7.58 | 30.09 | 10.423 |          |                                            |
|           NGC3432 |  10 |  52 | 31.1 |   + |  36 |  37 |   8 |  8 | -0.25 |  9.64 | 29.82 |  9.204 |          |                                            |
|     LV J1052+3639 |  10 |  52 | 40.8 |   + |  36 |  39 |  54 | 10 |   0.0 |  7.88 | 29.82 |  9.204 |          |                                            |
|            KDG073 |  10 |  52 | 57.1 |   + |  69 |  32 |  45 | 10 | -4.77 |  6.56 | 27.84 |  3.698 |          |                                            |
|             LeG28 |  10 |  53 |  0.7 |   + |  10 |  22 |  45 | 10 |   0.0 |  7.01 | 30.09 | 10.423 |          |                                            |
|          UGC06014 |  10 |  53 | 42.7 |   + |   9 |  43 |  41 |  9 |   0.0 |  8.36 | 30.09 | 10.423 |          |                                            |
|      LSBC D640-12 |  10 |  55 | 57.1 |   + |  12 |  20 |  20 | 10 |   0.0 |  6.96 | 30.09 | 10.423 |          |                                            |
|      LSBC D640-13 |  10 |  56 | 14.0 |   + |  12 |   0 |  37 | 10 |   0.0 |  7.56 | 30.09 | 10.423 |          |                                            |
|       HS1053+3624 |  10 |  56 | 40.4 |   + |  36 |   8 |  28 | 10 |   0.0 |  7.11 | 29.82 |  9.204 |          |                                            |
|        ESO215-009 |  10 |  57 | 30.2 |   - |  48 |  10 |  44 | 10 |   0.0 |  7.74 |  28.6 |  5.248 |          |                                            |
|             VV747 |  10 |  57 | 47.0 |   + |  36 |  15 |  39 | 10 |   0.0 |  8.02 | 29.82 |  9.204 |          |                                            |
|      LSBC D640-14 |  10 |  58 | 10.5 |   + |  11 |  59 |  57 | -2 |   0.0 |  7.61 | 30.09 | 10.423 |          |                                            |
|         AGC205278 |  10 |  58 | 52.1 |   + |  14 |   7 |  46 | 10 |   0.0 |   7.4 | 30.09 | 10.423 |          |                                            |
|           NGC3489 |  11 |   0 | 18.6 |   + |  13 |  54 |   4 |  1 | -1.74 | 10.53 | 30.41 | 12.078 |          |                                            |
|             LeG33 |  11 |   0 | 45.2 |   + |  14 |  10 |  20 | 10 |   0.0 |  6.88 | 30.09 | 10.423 |          |                                            |
|      LSBC D640-08 |  11 |   0 | 52.1 |   + |  13 |  52 |  51 | -3 |   0.0 |  8.23 | 30.09 | 10.423 |          |                                            |
|      CGCG 066-109 |  11 |   4 | 26.5 |   + |  11 |  45 |  18 | 10 | -2.44 |  7.83 | 30.09 | 10.423 |          |                                            |
|            KKSG20 |  11 |   4 | 40.6 |   + |   0 |   3 |  30 | 10 |   0.0 |  7.37 | 30.15 | 10.715 |          |                                            |
