|              Name | RAh | RAm |  RAs | DE- | DEd | DEm | DEs | TT |  SFRa |  KLum |    DM |   Dist |  n_clust |                                  reference |  
|          And XIII |   0 |  51 | 51.0 |   + |  33 |   0 |  16 | -3 |   0.0 |  5.66 | 24.62 |  0.839 |          |                                            |
|               SMC |   0 |  52 | 38.0 |   - |  72 |  48 |   1 |  9 | -1.34 |  8.85 | 18.99 |  0.063 |          |                                            |
|            And IX |   0 |  52 | 52.8 |   + |  43 |  12 |   0 | -3 | -6.87 |   6.2 | 24.48 |  0.787 |          |                                            |
|           NGC0300 |   0 |  54 | 53.5 |   - |  37 |  40 |  57 |  7 | -0.75 |  9.43 | 26.66 |  2.148 |          |                                            |
|           And XVI |   0 |  59 | 29.8 |   + |  32 |  22 |  36 | -3 |   0.0 |  6.23 |  23.6 |  0.525 |          |                                            |
|          Sculptor |   1 |   0 |  9.4 |   - |  33 |  42 |  33 | -3 |   0.0 |  6.86 | 19.77 |   0.09 |          |                                            |
|             LGS 3 |   1 |   3 | 55.0 |   + |  21 |  53 |   6 | 10 | -6.85 |  5.96 | 24.08 |  0.655 |          |                                            |
|            IC1613 |   1 |   4 | 47.8 |   + |   2 |   8 |   0 | 10 | -2.38 |  8.07 | 24.31 |  0.728 |          |                                            |
|             And X |   1 |   6 | 33.7 |   + |  44 |  48 |  16 | -3 | -5.51 |   6.1 | 24.01 |  0.634 |          |                                            |
|          UGC00685 |   1 |   7 | 22.3 |   + |  16 |  41 |   2 |  9 |  -2.3 |  7.97 | 28.27 |  4.508 |          |                                            |
|              KKH5 |   1 |   7 | 32.5 |   + |  51 |  26 |  25 | 10 |  -2.8 |  7.16 | 28.15 |  4.266 |          |                                            |
|        AM0106-382 |   1 |   8 | 22.0 |   - |  38 |  12 |  33 | 10 | -2.33 |   7.6 | 29.57 |  8.204 |          |                                            |
|           NGC0404 |   1 |   9 | 26.9 |   + |  35 |  43 |   3 | -1 | -1.48 |  9.28 | 27.42 |  3.048 |          |                                            |
|             And V |   1 |  10 | 17.1 |   + |  47 |  37 |  41 | -3 |  -6.3 |  6.62 | 24.55 |  0.813 |          |                                            |
|            And II |   1 |  16 | 29.8 |   + |  33 |  25 |   9 | -3 | -6.63 |  6.65 | 24.07 |  0.652 |          |                                            |
|          And XXII |   1 |  27 | 40.0 |   + |  28 |   5 |  25 | -3 |   0.0 |  5.36 |  24.5 |  0.794 |          |                                            |
|          UGC01056 |   1 |  28 | 47.2 |   + |  16 |  41 |  17 |  9 | -1.95 |  8.25 | 29.32 |  7.311 |          |                                            |
|          UGC01104 |   1 |  32 | 42.3 |   + |  18 |  18 |  57 |  9 | -2.01 |  8.35 | 29.39 |  7.551 |          |                                            |
|        MESSIER033 |   1 |  33 | 50.8 |   + |  30 |  39 |  37 |  5 | -0.44 |  9.54 | 24.64 |  0.847 |          |                                            |
|              KKH6 |   1 |  34 | 51.6 |   + |  52 |   5 |  30 | 10 | -3.33 |  7.02 | 27.86 |  3.733 |          |                                            |
|           NGC0625 |   1 |  35 |  5.0 |   - |  41 |  26 |  11 |  8 | -1.23 |  8.93 | 27.95 |   3.89 |          |                                            |
|           NGC0628 |   1 |  36 | 41.3 |   + |  15 |  47 |  12 |  5 | -0.06 | 10.31 | 29.32 |  7.311 |          |                                            |
|          UGC01171 |   1 |  39 | 41.6 |   + |  15 |  54 |  11 | 10 | -3.87 |   7.8 | 29.34 |  7.379 |          |                                            |
|            DDO013 |   1 |  40 |  9.6 |   + |  15 |  54 |  17 | 10 | -1.57 |  8.53 | 29.78 |  9.036 |          |                                            |
|              KK13 |   1 |  42 | 16.8 |   + |  26 |  22 |   4 | 10 | -2.99 |  7.49 | 29.29 |  7.211 |          |                                            |
|            KDG010 |   1 |  43 | 41.4 |   + |  15 |  41 |  23 | 10 | -2.63 |  7.66 | 29.48 |   7.87 |          |                                            |
|              KK14 |   1 |  44 | 42.7 |   + |  27 |  17 |  16 | 10 | -3.48 |   7.1 | 29.29 |  7.211 |          |                                            |
