SR1286  1.120 0.308  0.477 0.040 4.001 0.199
SR1289  0.631 0.174 -0.071 0.938 3.195 0.064
SR1290  1.120 0.185 -2.000 0.238 4.042 0.076
SR1295  1.260 0.145 -2.000 0.301 4.988 0.162
SR1296  0.071 0.032 -1.602 0.122 3.459 0.106
SR1297  0.020 0.002 -0.398 0.184 3.109 0.069
SR1300  0.020 0.004 -1.155 0.316 2.690 0.043
SR1302  0.022 0.004 -0.699 0.150 2.817 0.019
SR1303  0.501 0.176 -1.000 0.301 4.214 0.036
SR1305 12.600 1.300 -0.602 0.213 5.805 0.180
SR1306  1.260 0.145  0.176 0.199 4.960 0.105
SR1307 12.600 3.490 -2.000 0.301 4.976 0.022
SR1311  0.158 0.062 -1.602 0.122 4.356 0.092
SR1312  1.000 0.184 -0.301 0.199 5.272 0.090
SR1315  1.000 0.206 -2.000 0.238 4.122 0.092
SR1317  1.580 0.260  0.477 0.040 4.993 0.138
SR1319  0.025 0.003 -0.824 0.150 3.465 0.070
SR1320  4.470 1.575 -1.602 0.650 4.451 0.088
SR1322  0.794 0.146  0.176 0.199 4.745 0.084
SR1323  0.562 0.155 -0.398 0.850 3.442 0.097
SR1324  1.260 0.230  0.176 0.199 4.887 0.143
SR1328  0.355 0.139 -2.301 0.238 4.174 0.087
SR1329  0.126 0.138 -1.000 0.889 3.222 0.077
SR1330 10.000 3.145 -2.000 0.301 5.358 0.028
SR1331 12.600 1.845 -2.301 0.238 4.771 0.019
SR1332  1.410 0.160 -1.699 0.423 4.540 0.072
SR1333  1.410 0.330  0.477 0.088 5.444 0.058
SR1334  5.620 3.420 -2.301 0.238 4.680 0.267
SR1335  4.470 1.575 -2.301 0.150 4.648 0.016
SR1336  2.510 0.410 -0.398 0.850 4.844 0.008
SR1339  0.025 0.003 -0.699 0.111 3.266 0.056
SR1342  0.022 0.002 -0.071 0.150 3.510 0.153
SR1348  0.251 0.069  0.477 0.150 3.263 0.041
SR1349  1.410 0.230  0.477 0.088 4.764 0.076
SR1352  0.141 0.155 -1.000 0.650 3.107 0.109
SR1355  0.891 0.276 -1.301 0.316 4.281 0.011
SR1356  0.079 0.034 -1.602 0.122 3.444 0.074
SR1358  6.310 1.035 -1.602 0.122 4.879 0.049
SR1359  5.010 0.575  0.000 0.238 5.596 0.028
SR1367  1.780 0.415 -1.602 0.122 4.196 0.082
SR1368  1.410 0.260  0.398 0.088 5.248 0.007
SR1369  0.028 0.005 -0.699 0.213 3.257 0.034
SR1374  0.020 0.009 -1.602 0.650 3.699 0.039
SR1376  0.018 0.004 -1.456 0.951 2.996 0.200
SR1377  0.016 0.005  0.477 0.088 3.277 0.037
SR1378  1.410 0.160 -1.602 0.122 4.260 0.034
SR1379  6.310 3.365 -2.301 0.150 5.599 0.007
SR1380  4.470 2.285 -2.301 0.238 4.602 0.081
SR1381  0.036 0.014 -1.699 0.199 3.235 0.075
SR1384 11.200 1.300  0.301 0.111 5.734 0.082
SR1385  0.036 0.015 -1.155 0.223 3.391 0.118
SR1387  1.410 0.160 -2.000 0.238 4.462 0.008
SR1389  0.025 0.004 -0.699 0.111 2.815 0.048
SR1392  0.282 0.145 -2.301 0.150 3.760 0.117
SR1393  1.120 0.259 -1.824 0.199 4.271 0.095
SR1396  0.040 0.012 -1.602 0.122 3.382 0.152
SR1403  0.018 0.002 -2.301 0.150 3.428 0.148
SR1404  0.025 0.004 -0.699 0.111 3.101 0.133
SR1409  0.040 0.011 -1.602 0.122 3.283 0.147
SR1411  0.018 0.002 -1.602 0.122 3.311 0.077
SR1412  0.708 0.336 -2.301 0.301 4.537 0.129
SR1413  0.020 0.002 -1.602 0.122 2.728 0.231
SR1414  0.016 0.002  0.398 0.088 2.267 0.081
SR1418  0.004 0.001 -1.602 0.122 3.589 0.054
SR1419  0.014 0.002  0.477 0.040 2.770 0.076
SR1421  0.282 0.099 -0.523 0.412 3.683 0.054
SR1422  0.040 0.007 -1.602 0.122 3.780 0.092
SR1426  0.040 0.009 -1.602 0.122 3.445 0.136
SR1429  1.580 0.185 -1.602 0.122 4.168 0.023
SR1432  1.780 0.465 -2.000 0.301 4.512 0.019
SR1435  2.820 0.325 -1.602 0.122 4.154 0.273
SR1437  0.025 0.004 -0.699 0.111 3.258 0.052
SR1438  0.022 0.004 -1.000 0.238 2.915 0.028
SR1442  5.620 1.980 -2.301 0.150 4.659 0.184
SR1443  2.510 1.100 -2.301 0.150 4.627 0.006
SR1444  0.016 0.005  0.398 0.088 2.807 0.011
SR1448  0.071 0.025 -1.301 0.301 3.186 0.002
SR1457  0.004 0.002 -1.602 0.122 3.358 0.214
SR1458  1.260 0.145  0.301 0.150 5.359 0.184
SR1460  2.240 0.365 -0.824 0.350 5.243 0.098
SR1466  0.282 0.110 -0.071 1.049 3.883 0.044
SR1467 10.000 3.490 -2.301 0.238 4.757 0.070
SR1469  0.282 0.124 -0.523 0.738 3.493 0.043
SR1472  0.009 0.006  0.398 0.966 2.912 0.344
SR1475  0.022 0.002 -1.602 0.122 2.781 0.127
SR1476  0.079 0.028 -1.602 0.122 3.232 0.178
SR1477  0.018 0.002  0.000 0.124 2.704 0.089
SR1479  2.240 0.790 -2.301 0.238 4.329 0.108
SR1481  0.018 0.005  0.301 0.238 2.792 0.030
SR1485  0.022 0.004 -1.602 0.122 3.010 0.007
SR1486  0.891 0.206 -1.602 0.122 3.963 0.001
SR1487  3.980 2.130 -1.602 0.122 5.079 0.008
SR1496  5.010 1.960  0.000 0.150 4.670 0.763
SR1501  0.355 0.082  0.176 0.262 3.467 0.217
SR1503  0.126 0.045 -1.000 0.238 4.213 0.074
SR1504  1.410 0.160 -1.824 0.350 4.694 0.030
SR1506  0.398 0.093  0.176 0.350 3.589 0.168
SR1507  5.620 3.225 -2.301 0.238 5.070 0.040
SR1510  0.022 0.004 -0.699 0.150 3.321 0.067
SR1511  1.120 0.259 -1.602 0.122 3.931 0.023
SR1513  2.510 0.775 -2.301 0.150 4.227 0.016
SR1514 12.600 3.145 -2.301 0.238 5.808 0.012
SR1522  0.100 0.058 -1.456 0.412 3.931 0.028
SR1524  0.025 0.005 -0.602 0.335 3.222 0.015
SR1525  1.410 0.160 -2.301 0.150 4.771 0.064
SR1533  0.794 0.146  0.176 0.199 3.795 0.078
SR1534  2.240 0.790 -2.301 0.238 4.360 0.265
SR1540  0.056 0.057 -0.699 0.588 3.860 0.048
SR1541  0.006 0.002  0.301 0.111 2.725 0.030
SR1543  0.501 0.116 -0.071 0.287 3.891 0.219
SR1545  1.260 0.145 -0.125 0.287 5.010 0.100
SR1547  0.079 0.035 -1.602 0.122 3.896 0.130
SR1548 12.600 1.845 -0.824 0.199 5.090 0.086
SR1552  0.028 0.004 -0.699 0.301 3.213 0.061
SR1553  5.620 2.465 -2.301 0.238 5.024 0.023
SR1557  1.260 0.145 -1.824 0.423 5.044 0.062
SR1558  0.025 0.003 -0.699 0.111 2.691 0.127
SR1563  1.580 0.370 -2.000 0.350 4.015 0.157
SR1564  0.022 0.002 -0.699 0.588 3.293 0.088
SR1565  0.022 0.004 -1.602 0.122 3.103 0.022
SR1566 10.000 3.145 -1.824 0.350 5.900 0.030
SR1569  0.089 0.032 -1.155 1.088 3.582 0.043
SR1570  2.000 0.230  0.477 0.088 5.347 0.102
SR1580  5.010 1.765 -1.824 0.350 5.313 0.064
SR1582  0.025 0.004 -0.699 0.111 3.529 0.016
SR1584  1.780 0.210  0.477 0.040 5.200 0.019
SR1587  4.470 1.980  0.398 0.150 4.700 0.033
SR1589  3.980 1.745 -2.301 0.238 4.355 0.010
SR1599  0.014 0.002  0.477 0.040 2.699 0.127
SR1601  0.631 0.268 -1.456 0.301 4.955 0.057
SR1603  0.251 0.089 -1.602 0.850 4.365 0.043
SR1605  1.580 0.295 -2.000 0.350 5.171 0.040
SR1606 11.200 1.845 -0.523 0.272 5.096 0.006
SR1607  2.000 0.230  0.477 0.040 5.574 0.056
SR1609  0.040 0.004 -1.602 0.122 2.962 0.132
SR1610  0.126 0.058 -1.602 0.122 3.420 0.097
SR1614  1.000 0.308 -1.602 0.122 4.067 0.019
SR1617  5.620 2.220 -2.301 0.150 5.023 0.021
SR1619  0.200 0.107 -1.602 0.549 3.570 0.094
SR1625  0.891 0.206 -1.602 0.272 3.710 0.193
SR1626  0.158 0.056 -1.824 0.350 3.285 0.111
SR1628  2.240 0.520 -2.301 0.150 4.519 0.078
SR1633  0.355 0.188 -1.000 0.850 4.174 0.018
SR0163  2.000 0.230  0.477 0.040 5.146 0.255
SR1640  2.000 0.465 -0.301 0.262 4.157 0.078
SR1657  0.020 0.004 -1.301 0.228 3.694 0.056
SR1664  0.018 0.003  0.477 0.040 3.264 0.035
SR1665  0.013 0.007 -1.602 0.122 3.639 0.024
SR1666  0.004 0.001 -1.602 0.122 3.270 0.042
SR1667 10.000 2.760 -2.000 0.301 4.819 0.016
SR1669  0.016 0.002  0.398 0.088 3.917 0.072
SR1670  0.018 0.002 -2.301 0.150 3.234 0.020
SR1672  0.891 0.163  0.176 0.150 5.351 0.037
SR1673  4.470 1.380 -2.301 0.150 4.891 0.022
SR1676  1.780 0.550 -2.000 0.350 4.477 0.008
SR1679  1.780 0.415 -2.301 0.150 4.698 0.145
SR1684 12.600 0.700 -0.301 0.199 6.443 0.019
